Start Depth,End Depth,Facies Class Name
2673,2673.0199697935896,nc
2673.020137606981,2673.519885886894,s
2673.520053700285,2673.9199530122505,sh
2673.920120825642,2674.8499748279914,s
2674.8501426413827,2674.879846,nc
2674.8800134250714,2674.899983218661,ih
2674.900151032052,2674.9499916093305,s
2674.9501594227218,2675,nc
2675.000157678965,2675.0698517817723,ih
2675.0700094607378,2675.3699148533588,s
2675.370072532324,2675.419899085462,is
2675.4200567644275,2675.949858088931,s
2675.9500157678967,2675.9500157678967,nc
2675.950173446862,2676.9199530122505,s
2676.920120825642,2677.0098491843646,nc
2677.010003,2677.919975377039,s
2677.9201292705447,2678.014989955185,nc
2678.015144490805,2678.099984546438,is
2678.1001390820584,2678.199969092876,s
2678.2001236284964,2678.4699428218205,ih
2678.470097357441,2678.529902642559,bs
2678.5300571781795,2678.949930458971,s
2678.950084994591,2679.2299043463668,nc
2679.2300721597585,2679.4698774962244,is
2679.470045309616,2679.9499916093305,s
2679.9501594227218,2680.064868236395,nc
2680.065024169656,2680.369873694059,s
2680.37003,2681.2299043463668,nc
2681.2300721597585,2681.934888404094,s
2681.9350562174864,2682.019930016735,nc
2682.020082154268,2682.9499467518635,s
2682.950098889396,2683.009888751545,nc
2683.010043263288,2683.639987639061,s
2683.6401421508035,2684.0099025220484,nc
2684.0100572489555,2684.4499458455825,s
2684.4501005724896,2684.5998762184745,is
2684.6000309453816,2684.9399659600804,ih
2684.9401206869875,2685,nc
