Start Depth,End Depth,Facies Class Name
2211,2211.359959724786,nc
2211.360127538177,2211.8499748279914,s
2211.8501426413827,2211.969961,is
2211.970129216312,2212.0649437825136,nc
2212.0651115959054,2212.3198523242154,is
2212.320020137607,2212.734854841417,s
2212.735022654808,2212.969961,is
2212.970129216312,2213.039939587179,nc
2213.0401074005704,2213.159926162108,is
2213.1600939754994,2213.2498741399563,s
2213.250041953348,2213.359959724786,is
2213.360127538177,2213.879846,s
2213.8800134250714,2213.9499916093305,bs
2213.9501594227218,2214.349890921296,nc
2214.350058734687,2214.939923,s
2214.940090619232,2215.0298707836887,nc
2215.030039,2215.974995804665,s
2215.9751636180567,2216.309951334116,nc
2216.310119147508,2216.9598925994296,s
2216.960060412821,2217.039939587179,nc
2217.0401074005704,2217.629971471724,s
2217.630139285115,2217.7098506460816,is
2217.710018459473,2217.9598925994296,s
2217.960060412821,2218.1048833696927,nc
2218.1050511830845,2218.6999496559824,s
2218.700117469374,2219.0199697935896,nc
2219.020137606981,2219.929854002349,s
2219.930021815741,2220.069978184259,nc
2220.070145997651,2220.939923,sh
2220.940090619232,2221.0298707836887,nc
2221.030039,2221.239973149857,sh
2221.240140963249,2221.3198523242154,is
2221.320020137607,2221.859876,sh
2221.860043631482,2222.0298707836887,nc
2222.030039,2222.969961,sh
2222.970129216312,2223.0298707836887,nc
2223.030039,2223.9899311965096,sh
2223.990099009901,2224.0498405772782,nc
2224.050008390669,2224.479946299715,sh
2224.480114113106,2224.549924483974,ih
2224.550092297365,2224.6398724618225,is
2224.640040275214,2224.679979862393,ih
2224.6801476757846,2224.739889243161,is
2224.7400570565533,2224.979862393019,s
2224.9800302064104,2225.039939587179,nc
2225.0401074005704,2225.579963081054,s
2225.5801308944456,2226.0298707836887,nc
2226.030039,2226.369860714885,ih
2226.3700285282766,2226.589864071153,is
2226.5900318845443,2226.879846,s
2226.8800134250714,2226.9598925994296,bs
2226.960060412821,2227.0199697935896,nc
2227.020137606981,2227.979862393019,s
2227.9800302064104,2228.0298707836887,nc
2228.030039,2228.9499916093305,s
2228.9501594227218,2229.1199865749286,nc
2229.1201543883203,2229.189964759188,s
2229.1901325725794,2229.2299043463668,nc
2229.2300721597585,2229.449907702635,s
2229.450075516026,2229.5599932874643,is
2229.560161100856,2229.619902668233,s
2229.620070481624,2416.269843933546,nc
2416.2700117469376,2416.6398724618225,ih
2416.640040275214,2416.9899311965096,sh
2416.990099009901,2417.0498405772782,nc
2417.050008390669,2417.399899311965,sh
2417.4000671253566,2417.5398556804835,nc
2417.5400234938747,2417.929854002349,sh
2417.930021815741,2418.0199697935896,nc
2418.020137606981,2418.8499748279914,sh
2418.8501426413827,2419.0498405772782,nc
2419.050008390669,2419.929854002349,sh
2419.930021815741,2420.109917771438,nc
2420.110085584829,2420.269843933546,sh
2420.2700117469376,2427.470045309616,ih
2427.4702131230074,2427.4702131230074,is
