"SAMPLE
NUMBER",DEPTH,"PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",
1,2401.05,114.,64.0,27.3,
2,2401.25,114.,,25.9,
3,2401.50,44.0,,25.5,
4,2401.75,0.53,,18.8,
5,2401.95,164.,53.0,27.0,
6,2402.25,181.,,26.4,
7,2402.50,181.,,25.6,
8,2402.70,0.03,,5.8,
9,2403.05,0.03,0.19,3.9,
10,2403.25,< .01,,3.2,
11,2403.50,0.03,,2.3,
12,2403.75,0.03,,3.0,
13,2403.95,0.02,0.02,3.5,
14,2404.30,264.,,25.6,
15,2404.50,136.,,24.5,
16,2404.75,258.,,25.1,
17,2405.05,267.,150.,25.8,
18,2405.25,99.0,,24.7,
19,2405.50,259.,,25.7,
20,2405.75,286.,,25.7,
21,2405.95,174.,122.,25.1,
22,2406.30,218.,,26.9,
23,2406.53,11.0,,23.6,
24,2406.70,48.0,,25.0,
25,2407.03,17.0,,24.7,
26,2407.27,10.0,,23.6,
27,2407.50,79.0,,24.2,
28,2407.75,115.,,25.6,
29,2407.95,143.,134.,26.3,
30,2408.30,106.,,26.2,
31,2408.50,141.,,26.2,
32,2408.75,101.,,25.5,
33,2409.03,150.,103.,26.5,
34,2409.25,100.,,25.9,
35,2409.50,158.,,26.9,
36,2409.75,43.0,,24.3,
37,2410.03,49.0,24.0,25.3,
38,2410.30,27.0,,26.0,
39,2410.50,450.,,28.1,
40,2410.75,657.,,28.2,
41,2411.03,1.10,35.0,21.2,
42,2411.35,6.80,,18.4,
43,2411.55,323.,,27.5,
44,2411.80,36.0,,23.2,
45,2412.03,201.,87.0,26.1,
46,2412.25,263.,,25.9,
47,2412.50,243.,,26.4,
48,2412.70,235.,,26.4,
49,2413.03,248.,168.,26.1,
50,2413.25,288.,,26.3,
51,2413.50,173.,,25.0,
52,2413.75,219.,,26.2,
53,2414.10,202.,182.,25.1,
54,2414.25,264.,,25.8,
55,2414.50,273.,,26.4,
56,2414.70,152.,,25.1,
57,2415.10,144.,46.0,25.7,
58,2415.25,182.,,25.5,
59,2415.50,188.,,25.2,
60,2415.75,180.,,25.2,
61,2415.90,198.,132.,25.1,
62,2416.25,287.,,25.5,
63,2416.50,262.,,25.9,
64,2416.70,211.,,24.4,
65,2416.95,228.,162.,24.9,
66,2417.25,<.01,,2.3,
67,2417.50,442.,,26.9,
68,2417.75,323.,,26.9,
69,2418.03,324.,180.,26.1,
70,2418.25,229.,,24.9,
71,2418.50,239.,,26.2,
72,2418.70,170.,,24.9,
73,2419.03,1647.,1152.,27.2,
74,"2419,25",1201.,,30.2,
75,2419.50,630.,,26.7,
76,2419.75,397.,,26.3,
77,2420.03,458.,268.,25.8,
78,2420.25,356.,,25.4,
79,2420.50,172.,,25.1,
80,2420.70,203.,,25.1,
81,2421.03,328.,229.,26.0,
82,2421.25,331.,,25.7,
83,2421.50,270.,,24.8,
84,2421.75,475.,,25.3,
85,2422.05,434.,376.,25.3,
86,2422.25,549.,,25.6,
87,2422.50,601.,,25.7,
88,2422.69,434.,,25.5,
89,2423.03,0.65,0.19,35.0,
90,2423.25,0.28,,32.6,
91,2423.50,646.,,26.2,
92,2423.75,538.,,25.2,
93,2424.03,963.,484.,26.0,
94,2424.25,1155.,,26.5,
95,2424.50,747.,,26.6,
96,2424.70,1013.,,25.9,
97,2425.00,786.,750.,27.8,
98,2425.25,,,,
99,2425.70,113.,,23.6,
100,2427.50,331.,,26.4,
101,2427.75,203.,,25.5,
102,2428.00,294.,129.,26.4,
103,2428.25,242.,,25.0,
104,2428.50,90.0,,24.0,
105,2428.75,326.,,26.2,
106,2429.00,284.,232.,25.3,
107,2429.25,287.,,23.4,
108,2429.50,321.,,24.4,
109,2429.75,556.,,25.2,
110,2430.00,,,,
111,2430.25,225.,,25.5,
112,2430.50,0.52,,17.4,
113,2430.75,766.,,28.0,
114,2431.00,281.,274.,26.3,
115,2431.25,451.,,25.1,
L16,2431.50,145.,,24.7,
117,2431.75,276.,,25.8,
118,2432.00,295.,77.0,24.4,
119,2432.25,49.0,,23.4,
120,2432.50,425.,,27.2,
121,2432.75,,,,
122,2433.00,,,,
123,2433.25,,,,
124,2433.50,,,,
125,2433.75,,,,
126,2434.00,,,,
127,2434.25,,,,
128,2434.50,,,,
129,2434.75,,,,
130,2435.00,,,,
131,2435.25,,,,
132,2435.50,,,,
133,2435.75,,,,
134,2436.00,,,,
135,2436.25,,,,
136,2436.50,,,,
137,2436.75,,,,
138,2658.00,21.0,24.0,14.7,
139,2658.25,300.,,23.2,
140,2658.50,246.,,23.6,
141,2658.75,17.0,,17.3,
142,2659.00,263.,196.,22.8,
143,2659.25,317.,,22.8,
144,2659.50,21.0,,19.3,
145,2659.75,,,19.2,
146,2660.00,337.,286.,23.3,
147,2660.25,406.,,23.3,
148,2660.50,280.,,23.3,
149,2660.75,242.,,23.7,
150,2661.00,148.,211.,23.1,
151,2661.25,297.,,22.3,
152,2661.50,248.,,22.7,
153,2661.75,276.,,22.9,
154,2662.00,,,11.8,
155,2662.25,108.,,21.8,
156,2662.50,22.0,,19.4,
157,2662.75,425.,,22.5,
158,2663.00,237.,274.,22.3,
159,2663.25,400.,,22.9,
160,2663.50,371.,,22.8,
161,2663.75,367.,,22.6,
162,2664.00,454.,132.,22.4,
163,2664.25,332.,,22.0,
164,2664.50,31.0,,20.3,
165,2664.75,256.,,22.2,
166,2665.00,403.,172.,22.2,
167,2665.25,228.,,21.0,
168,2665.50,282.,,21.4,
169,2665.75,343.,,22.1,
170,2666.00,351.,237.,22.3,
171,2666.25,398.,,22.0,
172,2666.50,257.,,21.5,
173,2666.75,85.0,,19.9,
174,2667.00,182.,159.,20.6,
175,2667.25,227.,,21.5,
176,2667.50,100.,,20.2,
177,2667.75,268.,,21.7,
178,2668.00,2.80,0.10,15.3,
179,2668.25,1.40,,16.6,
180,2668.50,262.,,23.0,
181,2668.75,286.,,22.9,
182,2669.00,0.12,,10.5,
183,2669.25,1.00,0.36,13.2,
184,2669.50,3.30,,15.3,
185,2669.75,168.,,22.6,
186,2670.00,26.0,11.0,20.4,
187,2670.25,,,,
188,2670.50,1.10,,15.3,
189,2670.75,257.,,23.9,
190,2671.00,419.,273.,23.1,
191,2671.25,,,,
192,2671.50,22.0,,17.2,
193,2671.75,49.0,,22.0,
194,2672.00,13.0,0.88,19.4,
195,2672.25,2.80,,17.7,
196,2672.50,,,17.9,
197,2672.75,2.60,,16.4,
198,2673.00,163.,,20.9,
199,2673.25,391.,39.0,21.6,
200,2673.50,257.,,21.4,
201,2673.75,322.,,23.0,
202,2674.00,736.,,23.8,
203,2674.25,652.,616.,22.7,
204,2674.50,726.,,23.2,
205,2674.75,372.,,21.5,
206,2675.00,,,,
207,2675.25,293.,,19.3,
208,2675.50,405.,,20.4,
209,2675.75,214.,,19.4,
210,2676.00,,,,
211,2676.25,340.,95.0,20.7,
212,2676.50,179.,,19.0,
213,2676.75,253.,,19.6,
214,2677.00,,,,
215,2677.25,,,,
216,2677.50,,,,
217,2677.75,,,,
218,2678.00,,,,
219,2578.25,,,,
220,2678.50,41.0,,17.3,
221,2678.75,250.,,20.2,
222,2679.00,230.,,22.1,
223,2679.25,266.,143.,20.3,
224,2679.50,218.,,19.8,
225,2679.75,94.0,,19.7,
226,2680.00,142.,132.,19.9,
227,2680.25,232.,,20.0,
228,2680.50,314.,,20.0,
229,2680.75,301.,,20.1,
230,2681.00,282.,205.,20.1,
231,2681.25,183.,,20.1,
232,2681.50,271.,,20.2,
233,2681.75,257.,,20.3,
234,2682.00,82.0,54.0,18.2,
235,2682.25,244.,,19.9,
236,2682.50,245.,,19.9,
237,2682.75,248.,,20.2,
238,2683.00,81.0,68.0,19.5,
239,2683.25,,,,
240,2683.50,,,,
241,2583.75,,,,
242,2684.00,,,,
243,2684.25,,,,
244,2684.50,,,,
245,2684.75,,,,
246,2685.00,,,,
247,2685.25,,,,
248,2685.50,216.,,20.5,
249,2685.75,205.,,20.2,
250,2958.00,,,,
251,2958.25,,,,
252,2958.50,6.00,,19.4,
253,2958.75,2.30,,17.1,
254,2959.00,51.0,5.10,21.4,
255,2959.25,28.0,,21.2,
256,2959.50,,,,
257,2959.75,16.0,,19.3,
258,2960.00,15.0,9.50,15.9,
259,2960.25,33.0,,17.3,
260,2960.50,53.0,,16.4,
261,2960.75,79.0,,18.0,
262,2961.00,,,,
263,2961.25,13.0,37.0,21.3,
264,2961.50,56.0,,19.4,
265,2961.75,34.0,,19.4,
266,2962.00,,,,
267,2962.25,0.67,,16.1,
268,2962.50,12.0,,18.2,
269,2962.75,16.0,,18.8,
270,2963.00,13.0,22.0,18.5,
271,2963.25,20.0,,17.7,
272,2963.50,13.0,,18.2,
273,2963.75,101.,,18.2,
274,2964.00,7.90,23.0,17.8,
275,2964.25,53.0,,20.6,
276,2964.50,49.0,,15.3,
277,2964.75,0.03,,3.5,
278,2965.00,0.04,0.38,3.7,
279,2965.25,28.0,,13.6,
280,2965.50,41.0,,14.2,
281,2965.75,40.0,,18.3,
282,2966.00,13.0,2.70,16.0,
283,2966.25,37.0,,18.0,
284,2966.50,46.0,,19.1,
285,2966.75,19.0,,18.5,
286,2967.00,0.85,0.22,15.9,
287,2967.25,11.0,,18.5,
288,2967.50,6.30,,17.0,
289,2967.75,71.0,,19.3,
290,2968.00,73.0,77.0,19.0,
291,2968.25,9.60,,16.5,
292,2968.50,,,,
293,2968.75,5.80,,18.3,
294,2969.00,10.0,13.0,18.3,
295,2969.25,8.20,,18.8,
296,2969.50,18.0,,18.6,
297,2969.75,0.72,,13.9,
298,2970.00,16.0,23.0,18.4,
299,2970.25,4.90,,17.9,
300,2970.50,16.0,,14.5,
301,2970.75,5.00,,13.9,
302,2971.00,8.90,19.0,17.7,
303,2971.25,,,12.5,
304,2971.5D,,,11.9,
305,2971.75,39.0,,111.1,
306,2972.00,39.0,52.0,16.8,
307,2972.25,68.0,,18.7,
308,2972.50,97.0,,18.7,
309,2972.75,84.0,,19.5,
310,2973.00,12.0,12.0,17.8,
311,2973.25,5.80,,16.5,
312,2973.50,77.0,,18.7,
313,2973.75,49.0,,17.6,
314,2974.00,44.0,36.0,20.4,
315,2974.25,61.0,,19.3,
316,2974.50,0.10,,16.2,
317,2974.75,81.0,,19.8,
318,2975.00,,,,
319,2975.25,10.0,,19.7,
320,2975.50,41.0,,17.6,
321,2975.75,37.0,,19.2,
322,2976.00,33.0,29.0,18.7,
323,2976.25,,,,
324,2976.50,,,,
325,2976.75,,,,
326,2977.00,,,,
327,2977.25,,,,
328,2977.50,,,,
329,2977.75,32.0,,17.9,
330,2978.01,14.0,,20.4,
