"SAMPLE
NUMBER",DEPTH,"PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",
1,2175.00,,,,
2,2175.25,,,,
3,2175.50,,,,
4,2175.76,5.50,0.49,18.8,
5,2175.95,,,20.3,
6,2176.22,2.00,,19.8,
7,2176.51,0.48,,20.4,
8,2176.75,,0.16,20.1,
9,2176.98,3.50,,19.7,
10,2177.20,5.50,,22.2,
11,2177.45,14.0,,20.7,
12,2177.70,1.40,0.09,19.7,
13,2177.95,1.00,,18.8,
14,2178.27,3.70,,18.1,
15,2178.50,,,,
16,2178.65,1195.,2155.,28.4,
17,2179.00,,,,
18,2179.27,,,,
19,2179.47,1609.,,28.0,
20,2179.75,,,,
21,2179.97,521.,,25.1,
22,2180.28,1003.,795,24.7,
23,2180.48,1670.,,26.4,
24,2180.75,,,,
25,2181.06,,,18.5,
26,2181.23,,,18.6,
27,2181.49,2.10,,17.9,
28,2181.71,0.14,,17.4,
29,2181.96,,,24.5,
30,2182.25,,,,
31,2182.50,14.0,,21.0,
32,2182.74,0.80,0.10,17.9,
33,2183.03,,,18.6,
34,2183.21,,,18.7,
35,2183.48,1.10,,16.8,
36,2183.70,,0.21,19.4,
37,"2184,06",,,27.1,
38,2184.25,,,,
39,2184.50,,,25.3,
40,2184.72,,0.14,18.1,
41,2185.04,,,18.4,
42,2185.28,,,20.3,
43,2185.54,,,18.4,
44,2185.77,2.80,0.16,17.6,
45,2186.06,0.14,,18.1,
46,2186.27,138.,,27.3,
47,2186.50,0.14,,18.5,
48,2186.72,,0.08,18.7,
49,2187.03,465,,29.3,
50,2187.25,10.0,,23.7,
51,2187.50,0.12,,14.0,
52,2187.75,1.80,,11.0,
53,2188.05,0.44,,7.4,
54,2188.25,0.15,,6.1,
55,2188.49,0.25,,17.1,
56,2188.75,,0.76,19.5,
57,2189.00,,,,
58,2189.28,,,18.9,
59,2189.50,,,18.5,
60,2189.72,178.,0.35,27.1,
61,2190.00,,,,
62,2190.25,,,,
63,2190.49,,,18.9,
64,2190.71,,,,
65,2191.00,,,,
66,2191.25,,,,
67,2191.57,0.58,,20.7,
68,2191.78,3.40,,24.7,
69,2192.00,,,,
70,2192.26,,,20.1,
71,2192.48,3.40,,18.2,
72,2192.71,,,20.2,
73,2193.00,,,,
74,2193.28,,,25.3,
75,2193.49,204,,27.0,
76,2193.69,,,18.9,
77,2194.02,,,19.6,
78,2194.28,,,19.7,
79,2194.50,,,18.5,
80,2194.78,1.10,,18.5,
81,2195.02,,,19.9,
82,2195.25,,,,
83,2195.49,0.49,,17.9,
84,2195.78,,,18.1,
85,2196.03,25.0,,14.6,
86,2196.27,3.20,,11.8,
87,2196.50,10.0,,10.6,
88,2196.77,0.18,0.12,6.7,
89,2196.97,0.27,,8.1,
90,2197.25,,,,
91,2197.48,12.0,,22.6,
92,2197.77,232.,46.0,27.6,
93,2197.97,908,,29.1,
94,2198.25,,,,
95,2198.50,132.,,26.3,
96,2198.75,239.,181.,26.7,
97,2199.00,,,20.7,
98,2199.26,374.,,29.0,
99,2199.50,818.,,29.0,
100,2199.78,537.,735.,28.7,
101,2200.01,670.,,29.6,
102,2200.25,,,,
103,2200.50,,,,
