"SAMPLE
NUMBER",DEPTH,"PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",,
1,2141.00,,,,,
2,2141.25,41.000,,25.3,,
3,2141.48,713.000,,29.9,,
4,2141.75,,,,,
5,2142.03,687.000,599.000,27.5,,
6,2142.25,848.000,,28.7,,
7,2142.50,176.000,,25.6,,
8,2142.76,000.000,,29.1,,
9,2142.97,1034.000,1093.000,29.7,,
10,2143.25,716.000,,28.7,,
11,2143.48,772.000,,28.4,,
12,2143.68,30.000,,23.3,,
13,2144.03,912.000,892.000,28.9,,
14,2144.25,940.000,,28.7,,
15,2144.49,683.000,,28.2,,
16,2144.74,213.000,,25.5,,
17,2144.95,588.000,709.000,27.5,,
18,2145.24,7.700,,22.9,,
19,2145.49,385.000,,26.3,,
20,2145.68,19.000,,18.3,,
21,2146.04,610.000,350.000,27.7,,
22,2146.26,240.000,,25.5,,
23,2146.45,137.000,,24.3,,
24,2146.75,,,,,
25,2147.04,10.000,0.890,22.4,,
26,2147.25,,,,,
27,2147.50,,,,,
28,2147.82,152.000,,25.3,,
29,2148.05,155.000,137.000,26.8,,
30,2148.25,5.900,,21.8,,
31,2148.51,271.000,,25.6,,
32,2148.75,,,,,
33,2149.03,769.000,708.000,28.3,,
34,2149.25,272.000,,26.0,,
35,2149.50,,,,,
36,2149.75,1598.000,,30.3,,
37,2150.03,1340.000,1419.000,30.2,,
38,2150.25,1220.000,,29.7,,
39,2150.50,,,30.4,,
40,2150.75,645.000,,27.4,,
41,2150.94,294.000,405.000,25.6,,
42,2151.24,1093.000,,28.5,,
43,2151.53,935.000,,28.6,,
44,2151.75,924.000,,27.9,,
45,2151.96,175.000,122.000,23.4,,
46,2152.23,264.000,,24.6,,
47,2152.48,283.000,,25.0,,
48,2152.68,528.000,,26.9,,
49,2153.03,819.000,811.000,28.5,,
50,2153.25,279.000,,25.5,,
51,2153.49,62.000,,24.4,,
52,2153.74,266.000,,24.0,,
53,2153.96,258.000,248.000,26.1,,
54,2154.25,323.000,,25.5,,
55,2154.57,,,26.9,,
56,2154.75,,,,,
57,2155.03,349.000,3.800,26.5,,
58,"2155,26",1383.000,,31.8,,
59,2155.48,,,21.1,,
60,2155.74,38.000,,23.3,,
61,2156.05,612.000,1571.000,24.8,,
62,2156.24,1479.000,,30.2,,
63,2156.45,5.800,,24.0,,
64,2156.75,5.200,,22.4,,
65,2156.95,1537.000,1462.000,29.8,,
66,2157.25,,,,,
67,2157.52,,,19.0,,
68,2157.75,,,,,
69,2158.03,750.000,181.000,28.8,,
70,2158.25,1868.000,,29.5,,
71,2158.50,2073.000,,30.0,,
72,2158.75,,,,,
73,2159.04,503.000,326.000,27.7,,
74,2159.27,508.000,,27.2,,
75,2159.56,1943.000,,30.6,,
76,2159.75,,,,,
77,2160.03,779.000,660.000,27.1,,
78,2160.31,820.000,,28.2,,
79,2160.54,990.000,,27.7,,
80,2160.74,299.000,,23.5,,
81,2161.09,26.000,71.000,20.3,,
82,2161.30,5.900,,23.1,,
83,2161.50,41.000,,25.5,,
84,2161.74,210.000,113.000,27.0,,
85,2162.06,,,18.2,,
86,2162.22,839.000,,28.3,,
87,2162.49,73.000,,24.2,,
88,2162.75,,,,,
89,2162.90,869.000,4.500,28.3,,
90,2163.25,241.000,,27.0,,
91,2163.49,116.000,,25.3,,
92,2163.73,646.000,,29.3,,
93,2164.03,2983.000,2711.000,30.3,,
94,2164.24,703.000,,30.0,,
95,2164.47,885.000,,28.1,,
96,2164.74,126.000,,26.3,,
97,2165.03,,143.000,28.1,,
98,2165.25,1745.000,,29.5,,
99,2165.46,1245.000,,29.4,,
100,2165.75,,,,,
101,2166.11,,,19.5,,
102,2166.25,,,,,
103,2166.57,575.000,,28.4,,
104,2166.75,361.000,,25.8,,
105,2166.98,2543.000,649.000,30.9,,
