"SAMPLE
NUMBER",DEPTH,"PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",,,,
1,2211.00,,,,,,,
2,2211.32,2040,,30.6,,,,
3,2211.50,2322,1940,30.3,,,,
4,2211.75,2569,,31.2,,,,
5,2212.00,,,,,,,
6,2212.25,,,,,,,
7,2212.50,876,372,31.3,,,,
7,2212.50,,51,,,,,
8,2212.75,1513,,32.7,,,,
9,2213.00,550,,31.3,,,,
10,2213.25,,,27.2,,,,
11,2213.50,1557,1007,30.9,,,,
12,2213.75,1387,,31.3,,,,
13,2213.97,1558,,32.0,,,,
14,2214.32,754,,31.4,,,,
15,2214.52,1187,1266,32.8,,,,
16,2214.75,1330,,32.0,,,,
17,2214.98,1986,,32.7,,,,
18,2215.25,1585,,32.5,,,,
19,2215.50,1781,2464,32.5,,,,
20,2215.75,1815,,32.0,,,,
21,2215.97,1558,,32.2,,,,
22,2216.32,1962,,31.8,,,,
,,,,,,,,
23,2216.50,2008.,2365.,33.4,,,,
24,2216.75,1672.,,32.9,,,,
25,2216.98,2207.,,32.6,,,,
26,2217.25,2622.,,33.0,,,,
27,2217.50,160.,97.0,31.8,,,,
28,2217.75,1540.,,33.5,,,,
29,2218.00,1240.,,32.9,,,,
30,2218.25,1718.,,32.1,,,,
31,2218.50,1991.,1774.,30.9,,,,
32,2218.69,1230.,,30.3,,,,
33,2219.02,1591.,,30.9,,,,
34,2219.25,1871.,,31.2,,,,
35,2219.50,1122.,1460.,30.8,,,,
36,2219.75,1874.,,31.8,,,,
37,2220.00,,,,,,,
38,2220.25,,,,,,,
39,2220.50,,,,,,,
40,2220.75,,,,,,,
41,2221.00,,,,,,,
42,2221.25,,,,,,,
43,2221.50,,,,,,,
44,2221.75,,,,,,,
45,2222.00,,,,,,,
46,2222.25,,,,,,,
47,2222.50,,,,,,,
48,2222.75,,,,,,,
49,2223.00,,,,,,,
50,2223.25,,,,,,,
51,2223.50,,,,,,,
52,2223.75,,,,,,,
53,2224.00,,,,,,,
54,2224.25,,,,,,,
55,2224.50,,,,,,,
56,2224.75,321.,,29.7,,,,
57,2225.02,228.,,28.9,,,,
58,2225.25,1571.,,32.0,,,,
59,2225.50,402.,1086.,32.9,,,,
50,2225.69,1993.,,32.7,,,,
61,2226.00,,,,,,,
62,2226.30,70.0,,27.3,,,,
63,2226.50,56.0,41.0,26.0,,,,
64,2226.75,1797.,,32.6,,,,
65,2227.00,0.05,,6.1,,,,
66,2227.25,0.05,,8.1,,,,
67,2227.50,<.01,<.01,3.5,,,,
68,2227.75,<.01,,3.8,,,,
69,2228.00,<.01,,4.3,,,,
70,2228.25,<.01,,5.5,,,,
71,2228.50,<.01,0.01,3.4,,,,
72,2228.75,<.01,,5.3,,,,
73,2228.98,2299.,,32.4,,,,
74,2229.25,1365.,,32.2,,,,
75,2229.50,1285.,385.,32.3,,,,
76,2229.75,,,,,,,
77,2230.00,,,,,,,
78,2230.25,,,,,,,
79,"2230.50

",,,,,,,
80,2416.00,,,,,,,
81,2416.30,<.01,,5.5,,,,
82,2416.50,0.98,<.01 ,8.5,,,,
83,2416.75,,,,,,,
84,2417.00,,,,,,,
85,2417.25,,,,,,,
86,2417.50,,,,,,,
87,2417.75,,,,,,,
88,2418.00,,,,,,,
89,2418.25,,,,,,,
90,2418.50,,,,,,,
91,2418.75,,,,,,,
92,2419.00,,,,,,,
93,2419.25,,,,,,,
94,2419.50,,,,,,,
95,2419.75,,,,,,,
96,2420.00,,,,,,,
97,2420.25,,,,,,,
98,2420.50,,,,,,,
99,2420.75,,,,,,,
100,2421.00,152,6.5,27.3,,,,
,,,,,,,,
101,2421.25,,,21.3,,,,
102,2421.50,,,,,,,
103,2421.75,37.0,,24.8,,,,
104,2422.00,16.0,,23.9,,,,
105,2422.25,,,28.7,,,,
106,2422.50,105.,0.54,25.0,,,,
107,2422.75,16.0,,22.5,,,,
108,2423.00,79.0,,24.1,,,,
109,2423.25,512.,,29.5,,,,
110,2423.50,19.0,0.63,23.6,,,,
111,2423.75,73.0,,26.1,,,,
112,2424.00,13.0,,23.4,,,,
113,2424.25,,,21.2,,,,
114,2424.50,,0.23,22.8,,,,
115,2424.75,,,,,,,
116,2425.00,5.20,,24.0,,,,
117,2425.27,99.0,,26.3,,,,
118,2425.50,260.,30.0,28.3,,,,
119,2425.75,158.,,29.8,,,,
120,2426.02,1099.,,30.4,,,,
121,2426.25,235.,,28.7,,,,
