"SAMPLE
NUMBER",DEPTH,"PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",
1,2075.00,,,,
2,2075.32,960.,,28.3,
3,2075.50,840,727.,28.4,
4,2075.75,723.,,28.2,
5,2076.02,503.,,27.9,
6,2076.25,819.,,28.3,
7,2076.50,612.,302.,27.5,
8,2076.75,759.,,28.2,
9,2077.00,,,,
10,2077.31,572.,,28.1,
11,2077.50,836.,462.,27.9,
12,2077.75,909.,,28.2,
13,2078.05,575.,,27.6,
14,2078.25,519.,,27.7,
15,2078.50,875.,785.,27.7,
16,2078.70,678.,,28.1,
17,2078.98,779.,,28.0,
18,2079.33,601.,,28.5,
19,2079.50,1124.,,27.6,
20,2079.75,713.,,29.2,
21,2080.02,44.0,,21.6,
22,2080.25,1278.,,30.3,
23,2080.50,503.,568.,28.7,
24,2080.68,,,30.2,
25,2081.02,,,20.8,
26,2081.25,101.,,27.9,
27,2081.50,553.,773.,29.0,
28,2081.75,465.,,28.1,
29,2082.04,509.,,27.2,
30,2082.25,611.,,27.8,
31,2082.50,922.,437.,28.5,
32,2082.68,708.,,28.1,
33,2083.03,27.0,,19.5,
34,2083.25,668.,,27.7,
35,2083.50,967.,43.0,27.4,
36,2083.75,376.,,25.9,
37,2084.02,943.,,28.2,
38,2084.28,1246.,,27.8,
39,2084.50,1595.,682.,28.8,
40,2084.68,615.,,27.5,
41,2085.03,1242.,,28.8,
42,2085.24,,,25.9,
43,2085.50,372.,643.,27.7,
44,2085.75,430.,,26.7,
45,2086.02,418.,,27.6,
46,2086.27,179.,,25.7,
47,2086.50,501.,221.,29.3,
48,2086.75,,,,
49,2087.10,488.,,28.3,
50,2087.24,521.,,27.6,
,,,,,
51,2087.50,932.,184.,29.5,
52,2087.75,414.,,29.2,
53,2088.00,,,,
54,2088.26,744.,,28.0,
55,2088.50,,,,
56,2088.75,,,,
57,2089.00,,,,
58,2089.25,,,,
59,2089.50,,,,
60,2089.75,,,,
61,2090.00,,,,
62,2090.25,521.,,28.2,
63,2090.50,,,,
64,2090.75,610.,,28.7,
65,2091.00,,,,
66,2091.25,541.,,29.1,
67,2091.50,664.,709.,29.9,
68,2091.68,740.,,28.5,
69,2092.00,590.,,28.5,
70,2092.25,512.,,28.7,
71,2092.50,,,,
72,2092.75,,,,
73,2093.00,,,,
74,2093.30,360.,,30.3,
75,2093.52,610.,1095.,29.6,
76,2093.68,805.,,29.3,
77,2094.00,600.,,29.5,
,,,,,
78,2094.25,943.,,28.8,
79,2094.50,588.,456.,28.8,
80,2094.75,492.,,27.8,
81,2094.98,1047.,,27.7,
82,2095.31,561.,,27.5,
83,2095.50,373.,201.,27.6,
84,2095.75,488.,,28.2,
85,2096.00,673.,,28.2,
86,2096.25,569.,,27.5,
87,2096.50,580.,252.,24.0,
88,2096.68,858.,,28.5,
89,2097.00,,,,
90,2097.25,,,,
91,2097.50,,,,
92,2097.75,,,,
93,2098.00,,,,
94,2098.25,,,,
95,2098.50,,,,
96,2098.75,,,,
97,2099.00,,,,
98,2099.25,,,,
99,2099.50,,,,
100,2099.75,,,,
101,2100.00,106.,,25.5,
102,2100.25,1467.,,29.6,
103,2100.50,1297.,1318.,29.5,
104,2100.75,,,,
105,2101.00,,,,
106,2101.25,,,,
107,2101.50,,,,
108,2101.75,,,,
,,Core,2.00,(2102.00,
109,2102.00,,,,
110,2102.32,636.,,27.1,
111,2102.50,469.,412.,26.5,
112,2102.75,572.,,27.4,
113,2103.10,480.,,26.7,
114,2103.25,,,28.0,
115,2103.50,791.,930.,27.3,
116,2103.75,719.,,27.2,
117,2103.97,681.,,28.5,
118,2104.33,,,27.3,
119,2104.50,544.,595.,25.6,
120,2104.75,406.,,26.1,
121,2105.04,614.,,27.1,
122,2105.25,700.,,27.5,
123,2105.50,646.,1106.,27.7,
124,2105.75,855.,,27.7,
125,2105.97,741.,,28.1,
126,2106.33,784.,,28.8,
127,2106.50,792.,1127.,28.3,
128,2106.75,821.,,28.4,
,,,,,
129,2107.00,840.,,27.5,
130,2107.25,692.,,27.0,
131,2107.50,474.,597.,26.2,
132,2107.75,678.,,26.7,
133,2107.97,588.,,27.5,
134,2108.33,827.,,27.0,
135,2108.50,361.,1162.,26.3,
136,2108.75,631.,,26.4,
137,2108.97,598.,,27.7,
138,2109.25,689.,,28.0,
139,2109.50,652.,1085.,27.7,
140,2109.75,767.,,26.9,
141,2109.97,657.,,27.5,
142,2110.25,,,,
143,2110.50,506.,,27.3,
144,2110.75,1509.,577.,29.6,
145,2111.00,,,,
146,2111.20,1059.,,27.8,
147,2111.50,571.,,26.9,
148,2111.75,611.,760.,27.1,
149,2111.98,1523.,,28.1,
150,2112.25,,,,
151,2112.50,1280.,,28.1,
152,2112.75,1346.,1189.,28.6,
153,2113.00,1324.,,29.0,
154,2113.25,1346.,929.,28.8,
155,2113.50,1775.,,29.4,
,,,,,
156,2113.68,1911.,,28.1,
157,2114.00,,,,
158,2114.25,,1591.,,
159,2114.50,,,,
160,2114.75,,,,
161,2115.00,,,,
152,2115.25,547.,,28.2,
163,2115.50,760.,,28.3,
164,2115.68,437.,,28.2,
165,2116.12,803.,,27.9,
166,2116.25,890.,417.,28.0,
167,2116.50,,,24.5,
168,2116.75,489.,,28.5,
169,2117.00,748.,,27.8,
170,2117.25,628.,221.,28.0,
171,2117.50,193.,,26.7,
172,2117.75,269.,,26.8,
173,2118.00,114.,,25.6,
174,2118.25,185.,,25.9,
175,2118.50,1562.,,29.6,
176,2118.75,,,,
177,2119.00,1103.,,29.0,
178,2119.25,1051.,,28.3,
179,2119.50,212.,,27.5,
180,2119.73,508.,1312.,28.6,
181,2120.00,1254.,,28.4,
182,2120.25,847.,,27.2,
,,,,,
183,2120.50,864.,,27.5,
184,2120.75,418.,94.0,26.6,
185,2120.97,1399.,,29.3,
186,2121.25,,,,
187,2121.50,350.,,26.6,
188,2121.75,1213.,135.,27.8,
188X,2121.80,,396.,,
189,2122.05,1563.,,30.6,
190,2122.25,,,,
191,2122.50,71.0,,25.5,
192,2122.75,183.,291.,27.3,
193,2122.97,669.,,27.6,
194,2123.25,27.0,,25.4,
195,2123.50,1469.,114.,28.9,
196,2123.68,813.,,29.7,
197,2124.05,829.,,26.0,
198,2124.25,1357.,,27.9,
199,2124.50,,,,
200,2124.73,570.,,25.2,
201,2125.00,,,,
202,2125.25,,,,
203,2125.50,,,,
204,2125.75,,,,
205,2126.00,,,,
206,2126.25,,,,
207,2126.50,,,,
208,2126.75,,,,
209,2127.00,,,,
210,2127.25,,,,
211,2127.50,,,,
212,2128.50,,,,
213,2128.75,,,,
214,2129.00,,,,
215,2129.25,,,,
216,2129.50,,,,
217,2129.75,,,,
218,2130.00,,,,
219,2130.25,,,,
220,2130.50,,,,
221,2130.75,,,,
222,2131.00,,,,
223,2131.25,,,,
224,2131.50,,,,
225,2131.75,,,,
226,2132.00,,,,
227,2132.25,,,,
228,2132.50,,,,
229,2132.75,,,,
230,2133.00,,,,
231,2133.25,0.79,15.,,
232,2133.50,2.40,16.,,
,,,,,
233,2133.75,1.20,,16.0,
234,2133.97,,0.38,19.6,
235,2134.25,,,,
236,2134.50,1928.,,27.5,
237,2134.75,424.,473.,14.1,
238,2135.00,793.,,27.5,
239,2135.25,,,27.7,
240,2135.50,29.0,,20.7,
241,2135.75,1.20,0.59,17.0,
242,2136.00,733.,,27.9,
243,2136.25,,693.,,
244,2136.50,552.,,25.7,
245,2136.68,716.,,26.1,
246,2137.00,,,,
247,2137.25,578.,655.,28.4,
248,2137.50,767.,,26.9,
249,2137.75,755.,,27.1,
250,2137.97,908.,,26.3,
251,2138.25,911.,908.,27.5,
252,2138.50,1015.,,27.2,
253,2138.75,,,,
254,2139.05,805.,,26.8,
255,2139.25,475.,492.,26.4,
256,2139.50,889.,,26.4,
257,2139.75,1159.,,26.5,
258,2140.05,1075.,,27.3,
259,2140.25,,,,
260,2140.53,1012,887,26.1,
261,2140.75,1016,,26.5,
262,2141.07,1430,,26.3,
263,2141.25,,,,
264,2141.55,,,28.5,
265,2141.75,,,,
266,2142.00,,,,
267,2142.25,,,,
268,2142.50,,,,
269,2142.75,,,,
270,2143.00,,,,
271,2143.25,,,,
272,2143.50,,,,
273,2143.75,,,,
274,2144.00,,,,
275,2144.25,,,,
276,2144.50,,,,
277,2144.75,,,,
278,2145.00,,,,
279,2145.25,,,,
280,2145.50,,,,
281,2145.75,,,,
282,2146.00,,,,
283.,2146.25,,,,
284,2146.50,,,,
285,2146.75,,,,
286,2147.00,,,,
287,2147.25,,,,
288,2147.50,,,,
289,2147.75,,,,
290,2148.00,,,,
291,2148.25,,,,
292,2148.50,,,,
293,2148.75,,,,
294,2149.00,,,,
295,2149.25,,,,
296,2149.50,,,,
297,2149.75,,,,
29B,2150.00,,,,
299,2150.25,,,,
300,2150.50,,,,
301,2150.75,,,,
302,2151.00,,,,
303,2151.25,,,,
304,2151.50,,,,
305,2151.75,,,,
306,2152.00,,,,
307,2152.25,,,,
308,2152.50,,,,
309,2152.75,,,,
310,2153.00,,,,
311,2153.25,,,,
312,2153.50,,,,
313,2153.75,,,,
314,2154.00,,,,
315,2154.25,,,,
316,2154.50,,,,
317,2154.75,,,,
318,2155.00,,,,
319,2155.25,,,,
320,2155.50,,,,
321,2155.75,,,,
322,2156.00,,,,
323,2156.25,,,,
324,2156.50,,,,
325,2156.75,,,,
326,2157.00,,,,
327,2157.25,,,,
328,2157.50,,,,
329,2157.75,,,,
330,2158.00,,,,
331,2158.25,,,,
332,2158.50,,,,
333,2158.75,,,,
334,2158.90,0.17,,7.6,
335,2159.25,<.01,<.01,3.4,
336,2159.50,,,,
337,2159.75,,4.,,
338,2160.00,,,,
339,2160.25,,,,
340,2160.50,,,,
341,2160.75,,,,
342,2161.00,,,,
343,2161.25,,,,
344,2161.50,,,,
345,2161.80,<.01,,5.9,
346,2162.00,<.01,,1.6,
347,2162.25,<.01,<.01,1.6,
,,Core,5.00,(2163.00,
348,2163.00,,,,
349,2163.25,1.60,,19.8,
350,2163.50,,,,
351,2163.75,3.10,0.56,20.3,
352,2164.02,,,20.3,
353,2164.28,0.83,,17.9,
354,2164.50,0.35,1.40,17.5,
355,2164.77,,,24.0,
356,2165.02,,,21.1,
357,2165.30,,,23.6,
358,2165.50,10.0,0.61,22.5,
359,2165.73,32.0,,23.6,
360,2165.98,,,21.7,
361,2166.25,44.0,,24.1,
,,,,,
362,2166.53,5.00,0.68,22.4,
363,2166.72,4.50,,21.8,
364,2166.98,38.0,,22.3,
365,2167.22,,0.39,21.4,
366,2167.50,,,,
367,2167.75,,,,
368,2168.00,,,,
369,2168.25,,,,
370,2168.50,,,,
371,2168.75,,,,
372,2169.00,,,,
373,2169.25,,,,
374,2169.50,,,,
375,2169.75,,,,
376,2170.00,,,,
377,2170.25,,,,
378,2170.50,,,,
379,2170.73,3.90,0.47,24.4,
380,2171.00,,,,
381,2171.25,,,,
382,2171.50,21.0,4.50,27.5,
383,2171.75,,,,
384,2172.00,,,,
385,2172.25,,,,
386,2172.50,0.78,0.04,21.5,
387,2172.75,,,,
388,2173.00,,,,
389,2173.25,,,,
390,2173.50,,,,
391,2173.75,,,,
392,2174.00,,,,
393,2174.25,,,,
394,2174.50,,,,
395,2174.75,,,,
396,2175.00,,,,
397,2175.25,,,,
398,2175.50,,,,
399,2175.75,,,,
400,2176.00,,,,
401,2176.25,,,,
402,2176.50,,,,
403,2176.75,,,,
404,2177.00,,,,
405,2177.25,,,,
406,2177.50,,,,
407,2177.75,,,,
408,2178.00,,,,
409,2178.25,,,,
410,2178.50,,,,
411,2178.75,,,,
412,2179.00,,,,
413,2180.00,,,,
414,2180.25,,,,
415,2180.50,,,,
416,2180.75,,,,
417,2181.00,,,,
418,2181.25,,,,
419,2181.50,,,,
420,2181.75,,,,
421,2182.08,136.,,21.9,
422,2182.28,64.0,,17.4,
423,2182.50,,366.,31.2,
424,2182.75,644.,,30.2,
425,2183.00,,,,
426,2183.32,1394.,,30.3,
427,2183.50,1798.,1318.,30.6,
428,2183.75,1342.,,29.2,
429,2184.02,1271.,,30.4,
430,2184.25,1832.,,29.2,
431,2184.50,1612.,1541.,29.5,
432,2184.75,,,29.5,
433,2184.95,1408.,,30.3,
434,2185.25,,,,
435,2185.50,1244.,1010.,29.9,
436,2185.75,1423.,,30.2,
437,2186.03,1361.,,29.9,
438,2186.25,1496,,31.3,
439,2186.52,714,38,29.4,
440,2186.71,117,,26.9,
441,2186.98,,,32.1,
442,2187.32,697,,29.1,
443,2187.50,2172,1488,29.3,
444,2187.78,1423,,28.3,
445,2188.02,28,,13.8,
446,2188.26,1005,12,24.2,
,,Core,7.00,(2189.00,
447,2189.00,4.,,2.2,
448,2189.25,4.,<.01,2.0,
449,2189.50,4.,,2.0,
450,2189.75,0.40,,7.7,
451,2190.00,,,,
452,2190.25,,,,
453,2190.50,,,,
454,2191.88,246.,,28.4,
455,2191.15,1076.,,29.4,
456,2191.25,1124.,799.,29.1,
457,2191.50,5.90,,27.3,
458,2191.75,,,,
459,2192.00,,,,
460,2192.25,184.,58.0,25.9,
461,2192.50,79.0,82.0,26.4,
,,,,,
462,2192.75,135.,,25.9,
463,2193.00,281.,,26.8,
464,2193.25,104.,18.0,25.6,
465,2193.50,15.0,,25.8,
466,2193.75,,,,
467,2193.98,1008.,,29.8,
468,2194.25,1020.,623.,30.6,
469,2194.47,1592.,,29.0,
470,2194.75,,,,
471,2195.07,1090.,,27.0,
472,2195.25,1245.,795.,28.2,
473,2195.50,799.,,26.2,
474,2195.75,926.,,26.7,
475,2196.00,,,,
476,2196.25,,486.,,
477,2196.50,746.,,25.9,
478,2196.75,686.,,26.6,
479,2197.00,359.,467.,27.3,
480,2197.25,359.,,24.6,
481,2197.50,243.,,22.6,
482,2197.68,429.,,23.9,
483,2198.00,1103.,,28.5,
484,2198.25,695.,482.,28.1,
485,2198.50,,,28.2,
486,2198.75,109.,,27.5,
487,2199.00,,,,
488,2199.25,,,,
,,,,,
489,2199.50,,,,
490,2199.75,,,,
491,2200.00,,,,
492,2200.25,,,,
493,2200.50,,,,
494,2200.75,,,,
495,2201.00,,,,
496,2201.25,,,,
497,2201.50,,,,
498,2201.75,,,,
499,2202.00,,,,
500,2202.25,,,,
501,2202.50,,,,
502,2202.75,,,,
503,2203.00,,,,
504,2203.25,,,,
505,2203.50,,,,
506,2203.75,,,,
507,2204.00,,,,
508,2204.25,0.12,,9.3,
509,2204.50,0.03,,9.1,
510,2204.75,0.29,,12.3,
511,2205.00,,,,
512,2205.25,,,,
513,2205.50,,,,
514,2205.75,,,,
515,2206.00,,,,
516,2206.25,,,,
517,2206.50,,,,
518,2206.75,,,,
,,,,Core 8,
519,2208.50,,,,
520,2208.75,1.00,0.10,23.5,
521,2209.00,,,,
522,2209.25,,0.26,25.1,
523,2209.50,,,,
524,2209.75,,,,
525,2210.00,,,,
526,2210.25,,,,
527,2210.50,,,,
528,2210.75,,,,
529,2211.08,2.10,,20.9,
530,2211.27,4.,,5.3,
531,2211.50,,,,
532,2211.75,,,,
533,2212.00,,,,
534,2212.25,,,,
535,2212.50,,,,
536,2212.75,,,,
537,2213.00,,,,
538,2213.25,,,,
539,2213.50,,,,
540,2213.75,,,,
541,2214.00,,,,
542,2214.25,0.02,,7.9,
543,2214.50,,,,
544,"2214,75",,,,
545,2215.00,,,,
546,2215.25,5.50,,24.2,
547,2215.50,30.0,,25.8,
548,2215.75,109.,,29.2,
549,2216.00,15.0,,26.5,
550,2216.25,,,,
551,2216.50,,,,
552,2216.75,0.56,,17.8,
553,2217.00,0.09,,8.7,
554,2217.25,0.02,•.01,5.2,
555,2217.50,0.05,,9.3,
556,2217.75,,,,
557,2218.00,,,,
558,2218.25,,,,
559,2218.50,,,,
560,2218.75,,,,
561,2219.08,17.0,1.10,25.8,
562,2219.25,,,,
563,2219.50,,,,
564,2219.75,,,,
565,2220.00,163.,,26.5,
566,2220.25,6.50,0.99,17.2,
567,2220.50,0.75,,11.6,
568,2220.75,1.30,,10.5,
569,2220.97,0.25,,7.3,
570,2221.25,,,,
571,2221.50,,,,
572,2221.75,,,,
573,2222.00,,,,
574,2222.25,,,,
575,2222.50,,,,
576,2222.75,,,,
577,2222.98,,,,
578,2223.25,,,,
579,2223.50,1.20,,19.7,
580,2223.75,26.00,9.10,24.7,
581,2223.98,142.00,,27.3,
582,2224.25,,,,
583,2224.50,,,,
584,2224.75,,,,
585,2225.00,,,,
586,2225.25,,,,
587,2225.50,,,,
588,2225.75,,,,
589,2226.00,,,,
590,2226.25,,,,
,,,Core,9 (2226.50,
,,,,,
591,2226.50,,,,
592,2226.75,,,,
593,2227.00,,,,
594,2227.25,,,,
595,2227.50,1145.,,28.6,
596,2227.75,254.,293.,27.1,
597,2228.00,1729.,,28.4,
598,2228.25,184.,205.,27.8,
599,2228.50,122.,,27.1,
600,2228.68,380.,,27.7,
601,2229.05,649.,173.,27.6,
602,2229.25,,,26.7,
603,2229.50,0.88,,18.4,
604,2229.72,7.20,,23.4,
605,2230.00,,,,
606,2230.25,0.76,0.56,13.4,
607,2230.50,0.07,,5.7,
608,2230.75,,,21.5,
609,2231.00,,,,
610,2231.18,597.,366.,25.7,
611,2231.52,3.00,,21.8,
612,2231.77,16.0,,25.2,
613,2231.98,3.40,,22.5,
614,2232.22,68.0,,25.2,
615,2232.51,52.0,6.50,25.8,
,,,,,
616,2232.72,41.0,,24.2,
617,2232.98,4.20,,23.4,
618,2233.23,16.0,,24.0,
619,2233.52,91.0,0.61,26.5,
620,2233.73,53.0,,27.6,
621,2233.98,295.,,27.3,
622,2234.25,50.0,,26.7,
623,2234.48,160.,14.0,28.6,
624,2234.75,,,,
625,2235.02,157.,0.75,28.4,
626,2235.28,,,27.7,
627,2235.48,16.0,,24.8,
628,2235.75,,,,
629,2235.95,90.0,,24.5,
630,2236.27,,0.65,,
631,2236.48,,,28.0,
632,2236.75,659.,,30.5,
633,2237.00,144.,,27.5,
634,2237.25,348.,,28.5,
635,2237.50,572.,,27.4,
636,2237.70,,173.,26.2,
