DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
400.0,,,,,,,,,,,,
400.1524,,,,,,,,,,,,
400.3048,,,,,,,,,,,,
400.4572,,,,,,,,,,,,
400.6096,,,,,,,,,,,,
400.762,,,,,,39.1675,,,,,,
400.9144,,,,,,36.6688,,,,,,
401.0668,,,,,,34.0544,,,,,,
401.2192,,,,,,34.8124,,,,,,
401.3716,,,,,,36.611,,,,,,
401.524,,,,,,38.6646,,,,,,
401.6764,,,,,,38.5262,,,,,,
401.8288,,,,,,39.0555,,,,,,
401.9812,,,,,,37.9613,,,,,,
402.1336,,,,,,33.7517,,,,,,
402.286,,,,,,29.0802,,,,,,
402.4384,,,,,,27.7703,,,,,,
402.5908,,,,,,31.6901,,,,,,
402.7432,,,,,,35.0849,,,,,,
402.8956,,,,,,35.3006,,,,,,
403.048,,,,,,32.7428,,,,,,
403.2004,,,,,,31.4014,,,,,,
403.3528,,,,,,31.2052,,,,,,
403.5052,,,,,,31.7895,,,,,,
403.6576,,,,,,30.6035,,,,,,
403.81,,,,,,28.8812,,,,,,
403.9624,,,,,,25.5472,,,,,,
404.1148,,,,,,23.6672,,,,,,
404.2672,,,,,,21.169,,,,,,
404.4196,,,,,,19.7319,,,,,,
404.572,,,,,,18.3618,,,,,,
404.7244,,,,,,17.6849,,,,,,
404.8768,,,,,,19.7756,,,,,,
405.0292,,,,,,25.1459,,,,,,
405.1816,,,,,,32.6842,,,,,,
405.334,,,,,,38.8843,,,,,,
405.4864,,,,,,40.4182,,,,,,
405.6388,,,,,,39.8328,,,,,,
405.7912,,,,,,37.7224,,,,,,
405.9436,,,,,,35.0904,,,,,,
406.096,,,,,,36.3768,,,,,,
406.2484,,,,,,38.7538,,,,,,
406.4008,,,,,,42.1601,,,,,,
406.5532,,,,,,42.4181,,,,,,
406.7056,,,,,,39.9949,,,,,,
406.858,,,,,,38.3623,,,,,,
407.0104,,,,,,35.4688,,,,,,
407.1628,,,,,,36.1759,,,,,,
407.3152,,,,,,38.6631,,,,,,
407.4676,,,,,,42.0247,,,,,,
407.62,,,,,,43.8557,,,,,,
407.7724,,,,,,42.4376,,,,,,
407.9248,,,,,,41.2836,,,,,,
408.0772,,,,,,39.4567,,,,,,
408.2296,,,,,,38.4585,,,,,,
408.382,,,,,,36.3226,,,,,,
408.5344,,,,,,36.0231,,,,,,
408.6868,,,,,,33.8168,,,,,,
408.8392,,,,,,34.0409,,,,,,
408.9916,,,,,,34.8415,,,,,,
409.144,,,,,,38.9805,,,,,,
409.2964,,,,,,40.632,,,,,,
409.4488,,,,,,39.3034,,,,,,
409.6012,,,,,,37.1891,,,,,,
409.7536,,,,,,36.9095,,,,,,
409.906,,,,,,38.0567,,,,,,
410.0584,,,,,,37.8419,,,,,,
410.2108,,,,,,37.1975,,,,,,
410.3632,,,,,,33.9562,,,,,,
410.5156,,,,,,30.0957,,,,,,
410.668,,,,,,26.5993,,,,,,
410.8204,,,,,,25.399,,,,,,
410.9728,,,,,,25.8437,,,,,,
411.1252,,,,,,26.2283,,,,,,
411.2776,,,,,,25.5939,,,,,,
411.43,,,,,,24.3256,,,,,,
411.5824,,,,,,23.5212,,,,,,
411.7348,,,,,,24.0833,,,,,,
411.8872,,,,,,25.2288,,,,,,
412.0396,,,,,,25.0805,,,,,,
412.192,,,,,,23.0512,,,,,,
412.3444,,,,,,20.9837,,,,,,
412.4968,,,,,,21.9676,,,,,,
412.6492,,,,,,23.7656,,,,,,
412.8016,,,,,,24.0713,,,,,,
412.954,,,,,,23.7466,,,,,,
413.1064,,,,,,24.8672,,,,,,
413.2588,,,,,,27.7012,,,,,,
413.4112,,,,,,27.6938,,,,,,
413.5636,,,,,,26.9027,,,,,,
413.716,,,,,,25.5302,,,,,,
413.8684,,,,,,23.8915,,,,,,
414.0208,,,,,,22.5726,,,,,,
414.1732,,,,,,22.8188,,,,,,
414.3256,,,,,,24.085,,,,,,
414.478,,,,,,24.8614,,,,,,
414.6304,,,,,,24.8589,,,,,,
414.7828,,,,,,25.3563,,,,,,
414.9352,,,,,,26.9441,,,,,,
415.0876,,,,,,25.4753,,,,,,
415.24,,,,,,23.096,,,,,,
415.3924,,,,,,20.6074,,,,,,
415.5448,,,,,,22.4828,,,,,,
415.6972,,,,,,24.5048,,,,,,
415.8496,,,,,,24.9804,,,,,,
416.002,,,,,,23.7558,,,,,,
416.1544,,,,,,23.7629,,,,,,
416.3068,,,,,,26.0284,,,,,,
416.4592,,,,,,26.4138,,,,,,
416.6116,,,,,,24.9528,,,,,,
416.764,,,,,,23.1971,,,,,,
416.9164,,,,,,23.8671,,,,,,
417.0688,,,,,,25.0476,,,,,,
417.2212,,,,,,25.4518,,,,,,
417.3736,,,,,,25.181,,,,,,
417.526,,,,,,25.3037,,,,,,
417.6784,,,,,,23.3384,,,,,,
417.8308,,,,,,22.4879,,,,,,
417.9832,,,,,,22.0798,,,,,,
418.1356,,,,,,22.9788,,,,,,
418.288,,,,,,23.2823,,,,,,
418.4404,,,,,,23.6194,,,,,,
418.5928,,,,,,24.0641,,,,,,
418.7452,,,,,,24.1706,,,,,,
418.8976,,,,,,24.004,,,,,,
419.05,,,,,,25.1951,,,,,,
419.2024,,,,,,26.3156,,,,,,
419.3548,,,,,,26.6377,,,,,,
419.5072,,,,,,25.5516,,,,,,
419.6596,,,,,,24.4886,,,,,,
419.812,,,,,,22.6722,,,,,,
419.9644,,,,,,21.982,,,,,,
420.1168,,,,,,23.3646,,,,,,
420.2692,,,,,,25.7035,,,,,,
420.4216,,,,,,28.5565,,,,,,
420.574,,,,,,28.0535,,,,,,
420.7264,,,,,,28.9989,,,,,,
420.8788,,,,,,27.7287,,,,,,
421.0312,,,,,,26.9205,,,,,,
421.1836,,,,,,26.6142,,,,,,
421.336,,,,,,28.073,,,,,,
421.4884,,,,,,28.553,,,,,,
421.6408,,,,,,28.0093,,,,,,
421.7932,,,,,,26.7772,,,,,,
421.9456,,,,,,26.3565,,,,,,
422.098,,,,,,26.376,,,,,,
422.2504,,,,,,24.7734,,,,,,
422.4028,,,,,,24.6895,,,,,,
422.5552,,,,,,24.3423,,,,,,
422.7076,,,,,,24.1849,,,,,,
422.86,,,,,,23.9834,,,,,,
423.0124,,,,,,23.4598,,,,,,
423.1648,,,,,,24.4402,,,,,,
423.3172,,,,,,26.6193,,,,,,
423.4696,,,,,,30.6689,,,,,,
423.622,,,,,,33.1645,,,,,,
423.7744,,,,,,31.335,,,,,,
423.9268,,,,,,28.6217,,,,,,
424.0792,,,,,,25.9629,,,,,,
424.2316,,,,,,24.9157,,,,,,
424.384,,,,,,25.1688,,,,,,
424.5364,,,,,,27.6977,,,,,,
424.6888,,,,,,31.4917,,,,,,
424.8412,,,,,,32.1595,,,,,,
424.9936,,,,,,30.5882,,,,,,
425.146,,,,,,28.2424,,,,,,
425.2984,,,,,,26.6318,,,,,,
425.4508,,,,,,26.032,,,,,,
425.6032,,,,,,26.6473,,,,,,
425.7556,,,,,,27.6465,,,,,,
425.908,,,,,,29.5153,,,,,,
426.0604,,,,,,29.1324,,,,,,
426.2128,,,,,,28.0622,,,,,,
426.3652,,,,,,25.4879,,,,,,
426.5176,,,,,,25.3219,,,,,,
426.67,,,,,,26.2735,,,,,,
426.8224,,,,,,29.8834,,,,,,
426.9748,,,,,,32.5483,,,,,,
427.1272,,,,,,31.8604,,,,,,
427.2796,,,,,,30.2297,,,,,,
427.432,,,,,,30.6685,,,,,,
427.5844,,,,,,33.084,,,,,,
427.7368,,,,,,33.5845,,,,,,
427.8892,,,,,,30.1606,,,,,,
428.0416,,,,,,27.3101,,,,,,
428.194,,,,,,24.4439,,,,,,
428.3464,,,,,,22.7184,,,,,,
428.4988,,,,,,22.9838,,,,,,
428.6512,,,,,,25.2576,,,,,,
428.8036,,,,,,27.8389,,,,,,
428.956,,,,,,28.465,,,,,,
429.1084,,,,,,29.4058,,,,,,
429.2608,,,,,,29.4742,,,,,,
429.4132,,,,,,30.0196,,,,,,
429.5656,,,,,,30.6739,,,,,,
429.718,,,,,,28.2495,,,,,,
429.8704,,,,,,25.4317,,,,,,
430.0228,,,,,,23.9887,,,,,,
430.1752,,,,,,26.4429,,,,,,
430.3276,,,,,,28.139,,,,,,
430.48,,,,,,24.986,,,,,,
430.6324,,,,,,24.7204,,,,,,
430.7848,,,,,,26.7535,,,,,,
430.9372,,,,,,29.0575,,,,,,
431.0896,,,,,,29.6298,,,,,,
431.242,,,,,,27.8487,,,,,,
431.3944,,,,,,27.1749,,,,,,
431.5468,,,,,,27.1153,,,,,,
431.6992,,,,,,27.3164,,,,,,
431.8516,,,,,,27.1263,,,,,,
432.004,,,,,,27.0571,,,,,,
432.1564,,,,,,26.6628,,,,,,
432.3088,,,,,,27.9919,,,,,,
432.4612,,,,,,28.3863,,,,,,
432.6136,,,,,,27.9623,,,,,,
432.766,,,,,,27.6786,,,,,,
432.9184,,,,,,26.8793,,,,,,
433.0708,,,,,,26.8138,,,,,,
433.2232,,,,,,27.0508,,,,,,
433.3756,,,,,,26.6507,,,,,,
433.528,,,,,,27.336,,,,,,
433.6804,,,,,,26.9603,,,,,,
433.8328,,,,,,26.7362,,,,,,
433.9852,,,,,,25.6073,,,,,,
434.1376,,,,,,24.5206,,,,,,
434.29,,,,,,24.8081,,,,,,
434.4424,,,,,,26.4812,,,,,,
434.5948,,,,,,28.7295,,,,,,
434.7472,,,,,,30.8061,,,,,,
