DEPTH,AT20,AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL
353.3656,,,,,,,,,,,,,
353.518,,,,,,,,,,,,,
353.6704,,,,,,,,,,,,,
353.8228,,,,,,,,,,,,,
353.9752,,,,,,,,,,,,,
354.1276,,,,,,,,,,,,,
354.28,,,,,,,,,,,,,
354.4324,,,,,,,,,,,,,
354.5848,,,,,,,,,,,,,
354.7372,,,,,,,,,,,,,
354.8896,,,,,,,,,,,,,
355.042,,,,,,,,,,,,,
355.1944,,,,,,,,,,,,,
355.3468,,,,,,,,,,,,,
355.4992,,,,,,,,,,,,,
355.6516,,,,,,,,,,,,,
355.804,,,,,,,,,,,,,
355.9564,,,,,,,,,,,,,
356.1088,,,,,,,,,,,,,
356.2612,,,,,,,,,,,,,
356.4136,,,,,,,,,,,,,
356.566,,,,,,,,,,,,,
356.7184,,,,,,,,,,,,,
356.8708,,,,,,,,,,,,,
357.0232,,,,,,,,,,,,,
357.1756,,,,,,,,,,,,,
357.328,,,,,,,,,,,,,
357.4804,,,,,,,,,,,,,
357.6328,,,,,,,,,,,,,
357.7852,,,,,,,,,,,,,
357.9376,,,,,,,,,,,,,
358.09,,,,,,,,,,,,,
358.2424,,,,,,,,,,,,,
358.3948,,,,,,,,,,,,,
358.5472,,,,,,,,,,,,,
358.6996,,,,,,,,,,,,,
358.852,,,,,,,,,,,,,
359.0044,,,,,,,,,,,,,
359.1568,,,,,,,,,,,,,
359.3092,,,,,,,,,,,,,
359.4616,,,,,,,,,,,,,
359.614,,,,,,,,,,,,,
359.7664,,,,,,,,,,,,,
359.9188,,,,,,,,,,,,,
360.0712,,,,,,,,,,,,,
360.2236,,,,,,,,,,,,,
360.376,,,,,,,,,,,,,
360.5284,,,,,,,,,,,,,
360.6808,,,,,,,,,,,,,
360.8332,,,,,,,,,,,,,
360.9856,,,,,,,,,,,,,
361.138,,,,,,,,,,,,,
361.2904,,,,,,,,,,,,,
361.4428,,,,,,,,,,,,,
361.5952,,,,,,,,,,,,,
361.7476,,,,,,,,,,,,,
361.9,,,,,,,,,,,,,
362.0524,,,,,,,,,,,,,
362.2048,,,,,,,,,,,,,
362.3572,,,,,,,,,,,,,
362.5096,,,,,,,,,,,,,
362.662,,,,,,,,,,,,,
362.8144,,,,,,,,,,,,,
362.9668,,,,,,,,,,,,,
363.1192,,,,,,,,,,,,,
363.2716,,,,,,,,,,,,,
363.424,,,,,,,,,,,,,
363.5764,,,,,,,,,,,,,
363.7288,,,,,,,,,,,,,
363.8812,,,,,,,,,,,,,
364.0336,,,,,,,,,,,,,
364.186,,,,,,,,,,,,,
364.3384,,,,,,,,,,,,,
364.4908,,,,,,,,,,,,,
364.6432,,,,,,,,,,,,,
364.7956,,,,,,,,,,,,,
364.948,,,,,,,,,,,,,
365.1004,,,,,,,,,,,,,
365.2528,,,,,,,,,,,,,
365.4052,,,,,,,,,,,,,
365.5576,,,,,,,,,,,,,
365.71,,,,,,,,,,,,,
365.8624,,,,,,,,,,,,,
366.0148,,,,,,,,,,,,,
366.1672,,,,,,,,,,,,,
366.3196,,,,,,,,,,,,,
366.472,,,,,,,,,,,,,
366.6244,,,,,,,,,,,,,
366.7768,,,,,,,,,,,,,
366.9292,,,,,,,,,,,,,
367.0816,,,,,,,,,,,,,
367.234,,,,,,,,,,,,,
367.3864,,,,,,,,,,,,,
367.5388,,,,,,,,,,,,,
367.6912,,,,,,,,,,,,,
367.8436,,,,,,,,,,,,,
367.996,,,,,,,,,,,,,
368.1484,,,,,,,,,,,,,
368.3008,,,,,,,,,,,,,
368.4532,,,,,,,,,,,,,
368.6056,,,,,,,,,,,,,
368.758,,,,,,,,,,,,,
368.9104,,,,,,,,,,,,,
369.0628,,,,,,,,,,,,,
369.2152,,,,,,,,,,,,,
369.3676,,,,,,,,,,,,,
369.52,,,,,,,,,,,,,
369.6724,,,,,,,,,,,,,
369.8248,,,,,,,,,,,,,
369.9772,,,,,,,,,,,,,
370.1296,,,,,,,,,,,,,
370.282,,,,,,,,,,,,,
370.4344,,,,,,,,,,,,,
370.5868,,,,,,,,,,,,,
370.7392,,,,,,,,,,,,,
370.8916,,,,,,,,,,,,,
371.044,,,,,,,,,,,,,
371.1964,,,,,,,,,,,,,
371.3488,,,,,,,,,,,,,
371.5012,,,,,,,,,,,,,
371.6536,,,,,,,,,,,,,
371.806,,,,,,,,,,,,,
371.9584,,,,,,,,,,,,,
372.1108,,,,,,,,,,,,,
372.2632,,,,,,,,,,,,,
372.4156,,,,,,,,,,,,,
372.568,,,,,,,,,,,,,
372.7204,,,,,,,,,,,,,
372.8728,,,,,,,,,,,,,
373.0252,,,,,,,,,,,,,
373.1776,,,,,,,,,,,,,
373.33,,,,,,,,,,,,,
373.4824,,,,,,,,,,,,,
373.6348,,,,,,,,,,,,,
373.7872,,,,,,,,,,,,,
373.9396,,,,,,,,,,,,,
374.092,,,,,,,,,,,,,
374.2444,,,,,,,,,,,,,
374.3968,,,,,,,,,,,,,
374.5492,,,,,,,,,,,,,
374.7016,,,,,,,,,,,,,
374.854,,,,,,,,,,,,,
375.0064,,,,,,,,,,,,,
375.1588,,,,,,,,,,,,,
375.3112,,,,,,,,,,,,,
375.4636,,,,,,,,,,,,,
375.616,,,,,,,,,,,,,
375.7684,,,,,,,,,,,,,
375.9208,,,,,,,,,,,,,
376.0732,,,,,,,,,,,,,
376.2256,,,,,,,,,,,,,
376.378,,,,,,,,,,,,,
376.5304,,,,,,,,,,,,,
376.6828,,,,,,,,,,,,,
376.8352,,,,,,,,,,,,,
376.9876,,,,,,,,,,,,,
377.14,,,,,,,,,,,,,
377.2924,,,,,,,,,,,,,
377.4448,,,,,,,,,,,,,
377.5972,,,,,,,,,,,,,
377.7496,,,,,,,,,,,,,
377.902,,,,,,,,,,,,,
378.0544,,,,,,,,,,,,,
378.2068,,,,,,,,,,,,,
378.3592,,,,,,,,,,,,,
378.5116,,,,,,,,,,,,,
