DEPTH,CALI,DENC,DENS,DTC,DTS,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
500.0,,,,,,,,40.7333,,,,,,
500.1524,,,,,,,,40.1181,,,,,,
500.3048,,,,,,,,41.8114,,,,,,
500.4572,,,,,,,,40.1636,,,,,,
500.6096,,,,,,,,39.9752,,,,,,
500.762,,,,,,,,38.1575,,,,,,
500.9144,,,,,,,,34.8382,,,,,,
501.0668,,,,,,,,32.4671,,,,,,
501.2192,,,,,,,,40.0149,,,,,,
501.3716,,,,,,,,41.2305,,,,,,
501.524,,,,,,,,38.5198,,,,,,
501.6764,,,,,,,,36.3083,,,,,,
501.8288,,,,,,,,35.7605,,,,,,
501.9812,,,,,,,,33.7797,,,,,,
502.1336,,,,,,,,21.5392,,,,,,
502.286,,,,,,,,22.3697,,,,,,
502.4384,,,,,,,,22.1442,,,,,,
502.5908,,,,,,,,22.1596,,,,,,
502.7432,,,,,,,,26.2715,,,,,,
502.8956,,,,,,,,25.1078,,,,,,
503.048,,,,,,,,23.3181,,,,,,
503.2004,,,,,,,,24.6494,,,,,,
503.3528,,,,,,,,24.1565,,,,,,
503.5052,,,,,,,,24.4959,,,,,,
503.6576,,,,,,,,28.8006,,,,,,
503.81,,,,,,,,26.5111,,,,,,
503.9624,,,,,,,,27.1272,,,,,,
504.1148,,,,,,,,23.7093,,,,,,
504.2672,,,,,,,,23.3949,,,,,,
504.4196,,,,,,,,22.6229,,,,,,
504.572,,,,,,,,24.2684,,,,,,
504.7244,,,,,,,,24.9289,,,,,,
504.8768,,,,,,,,18.1255,,,,,,
505.0292,,,,,,,,21.0588,,,,,,
505.1816,,,,,,,,25.1848,,,,,,
505.334,,,,,,,,26.0025,,,,,,
505.4864,,,,,,,,26.924,,,,,,
505.6388,,,,,,,,27.1298,,,,,,
505.7912,,,,,,,,27.6222,,,,,,
505.9436,,,,,,,,28.8272,,,,,,
506.096,,,,,,,,28.2093,,,,,,
506.2484,,,,,,,,25.6446,,,,,,
506.4008,,,,,,,,27.187,,,,,,
506.5532,,,,,,,,25.4114,,,,,,
506.7056,,,,,,,,23.5241,,,,,,
506.858,,,,,,,,24.8007,,,,,,
507.0104,,,,,,,,32.6346,,,,,,
507.1628,,,,,,,,26.828,,,,,,
507.3152,,,,,,,,25.4706,,,,,,
507.4676,,,,,,,,24.0776,,,,,,
507.62,,,,,,,,28.2604,,,,,,
507.7724,,,,,,,,27.3443,,,,,,
507.9248,,,,,,,,29.8224,,,,,,
508.0772,,,,,,,,30.6192,,,,,,
508.2296,,,,,,,,26.1043,,,,,,
508.382,,,,,,,,27.2105,,,,,,
508.5344,,,,,,,,28.3468,,,,,,
508.6868,,,,,,,,27.1273,,,,,,
508.8392,,,,,,,,26.178,,,,,,
508.9916,,,,,,,,26.8626,,,,,,
509.144,,,,,,,,26.9846,,,,,,
509.2964,,,,,,,,25.3771,,,,,,
509.4488,,,,,,,,23.4203,,,,,,
509.6012,,,,,,,,27.8993,,,,,,
509.7536,,,,,,,,25.3895,,,,,,
509.906,,,,,,,,28.2615,,,,,,
510.0584,,,,,,,,30.408,,,,,,
510.2108,,,,,,,,30.4506,,,,,,
510.3632,,,,,,,,27.3182,,,,,,
510.5156,,,,,,,,24.5174,,,,,,
510.668,,,,,,,,25.9891,,,,,,
510.8204,,,,,,,,28.9851,,,,,,
510.9728,,,,,,,,30.0433,,,,,,
511.1252,,,,,,,,31.5644,,,,,,
511.2776,,,,,,,,31.3073,,,,,,
511.43,,,,,,,,31.1701,,,,,,
511.5824,,,,,,,,32.3983,,,,,,
511.7348,,,,,,,,27.4205,,,,,,
511.8872,,,,,,,,28.3901,,,,,,
512.0396,,,,,,,,34.3263,,,,,,
512.192,,,,,,,,28.2841,,,,,,
512.3444,,,,,,,,31.3869,,,,,,
512.4968,,,,,,,,26.327,,,,,,
512.6492,,,,,,,,24.6222,,,,,,
512.8016,,,,,,,,32.6919,,,,,,
512.954,,,,,,,,32.0866,,,,,,
513.1064,,,,,,,,28.6779,,,,,,
513.2588,,,,,,,,32.0582,,,,,,
513.4112,,,,,,,,29.9404,,,,,,
513.5636,,,,,,,,28.1401,,,,,,
513.716,,,,,,,,28.7126,,,,,,
513.8684,,,,,,,,27.9923,,,,,,
514.0208,,,,,,,,28.6478,,,,,,
514.1732,,,,,,,,28.2991,,,,,,
514.3256,,,,,,,,31.0765,,,,,,
514.478,,,,,,,,29.8162,,,,,,
514.6304,,,,,,,,29.5942,,,,,,
514.7828,,,,,,,,27.7999,,,,,,
514.9352,,,,,,,,28.7337,,,,,,
515.0876,,,,,,,,27.6145,,,,,,
515.24,,,,,,,,30.4587,,,,,,
515.3924,,,,,,,,31.5328,,,,,,
515.5448,,,,,,,,35.2122,,,,,,
515.6972,,,,,,,,33.5287,,,,,,
515.8496,,,,,,,,33.4928,,,,,,
516.002,,,,,,,,34.5344,,,,,,
516.1544,,,,,,,,33.7528,,,,,,
516.3068,,,,,,,,30.2854,,,,,,
516.4592,,,,,,,,32.6497,,,,,,
516.6116,,,,,,,,34.7349,,,,,,
516.764,,,,,,,,31.5253,,,,,,
516.9164,,,,,,,,31.1826,,,,,,
517.0688,,,,,,,,30.8909,,,,,,
517.2212,,,,,,,,29.0164,,,,,,
517.3736,,,,,,,,28.6806,,,,,,
517.526,,,,,,,,27.9154,,,,,,
517.6784,,,,,,,,29.0648,,,,,,
517.8308,,,,,,,,27.1505,,,,,,
517.9832,,,,,,,,38.2698,,,,,,
518.1356,,,,,,,,36.1427,,,,,,
518.288,,,,,,,,32.943,,,,,,
518.4404,,,,,,,,29.6212,,,,,,
518.5928,,,,,,,,29.1467,,,,,,
518.7452,,,,,,,,28.0267,,,,,,
518.8976,,,,,,,,32.6249,,,,,,
519.05,,,,,,,,32.7931,,,,,,
519.2024,,,,,,,,31.4477,,,,,,
519.3548,,,,,,,,28.6864,,,,,,
519.5072,,,,,,,,26.766,,,,,,
519.6596,,,,,,,,31.2891,,,,,,
519.812,,,,,,,,32.5199,,,,,,
519.9644,,,,,,,,30.9203,,,,,,
520.1168,,,,,,,,30.745,,,,,,
520.2692,,,,,,,,29.8728,,,,,,
520.4216,,,,,,,,28.3433,,,,,,
520.574,,,,,,,,32.8471,,,,,,
520.7264,,,,,,,,33.6993,,,,,,
520.8788,,,,,,,,32.2665,,,,,,
521.0312,,,,,,,,33.8044,,,,,,
521.1836,,,,,,,,35.0156,,,,,,
521.336,,,,,,,,35.8979,,,,,,
521.4884,,,,,,,,35.716,,,,,,
521.6408,,,,,,,,33.4671,,,,,,
521.7932,,,,,,,,31.7822,,,,,,
521.9456,,,,,,,,33.7702,,,,,,
522.098,,,,,,,,33.2613,,,,,,
522.2504,,,,,,,,32.6286,,,,,,
522.4028,,,,,,,,30.4903,,,,,,
522.5552,,,,,,,,32.1683,,,,,,
522.7076,,,,,,,,35.7082,,,,,,
522.86,,,,,,,,36.2436,,,,,,
523.0124,,,,,,,,36.5294,,,,,,
523.1648,,,,,,,,39.4276,,,,,,
523.3172,,,,,,,,38.5912,,,,,,
523.4696,,,,,,,,36.55,,,,,,
523.622,,,,,,,,37.6702,,,,,,
523.7744,,,,,,,,34.7546,,,,,,
523.9268,,,,,,,,33.0052,,,,,,
524.0792,,,,,,,,30.5362,,,,,,
524.2316,,,,,,,,32.9027,,,,,,
524.384,,,,,,,,30.6456,,,,,,
524.5364,,,,,,,,27.1732,,,,,,
524.6888,,,,,,,,30.5905,,,,,,
524.8412,,,,,,,,33.5357,,,,,,
524.9936,,,,,,,,34.2026,,,,,,
525.146,,,,,,,,35.5204,,,,,,
525.2984,,,,,,,,33.4905,,,,,,
525.4508,,,,,,,,33.0601,,,,,,
525.6032,,,,,,,,29.6171,,,,,,
525.7556,,,,,,,,29.2157,,,,,,
525.908,,,,,,,,29.6826,,,,,,
526.0604,,,,,,,,31.2868,,,,,,
526.2128,,,,,,,,33.1035,,,,,,
526.3652,,,,,,,,31.4897,,,,,,
526.5176,,,,,,,,33.5914,,,,,,
526.67,,,,,,,,32.9038,,,,,,
526.8224,,,,,,,,31.7858,,,,,,
526.9748,,,,,,,,30.4021,,,,,,
527.1272,,,,,,,,31.5352,,,,,,
527.2796,,,,,,,,29.5314,,,,,,
527.432,,,,,,,,34.405,,,,,,
527.5844,,,,,,,,33.0267,,,,,,
527.7368,,,,,,,,30.8299,,,,,,
527.8892,,,,,,,,30.6354,,,,,,
528.0416,,,,,,,,35.5544,,,,,,
528.194,,,,,,,,33.8241,,,,,,
528.3464,,,,,,,,30.2461,,,,,,
528.4988,,,,,,,,29.7441,,,,,,
528.6512,,,,,,,,26.4095,,,,,,
528.8036,,,,,,,,27.0818,,,,,,
528.956,,,,,,,,28.9557,,,,,,
529.1084,,,,,,,,27.6664,,,,,,
