DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RACH,RDEP,RLA2,RLA4,RMED,RMIC,RPCH,RSHAL,SP
435.0,,,,,,,,,,,,,,,,,
435.1524,,,,,,,,,,,,,,,,,
435.3048,,,,,,,,,,,,,,,,,
435.4572,,,,,,,,,,,,,,,,,
435.6096,,,,,,,,,,,,,,,,,
435.762,,,,,,,,,,,,,,,,,
435.9144,,,,,,,,,,,,,,,,,
436.0668,,,,,,,,,,,,,,,,,
436.2192,,,,,,,,,,,,,,,,,
436.3716,,,,,,,,,,,,,,,,,
436.524,,,,,,,,,,,,,,,,,
436.6764,,,,,,,,,,,,,,,,,
436.8288,,,,,,,,,,,,,,,,,
436.9812,,,,,,,,,,,,,,,,,
437.1336,,,,,,,,,,,,,,,,,
437.286,,,,,,,,,,,,,,,,,
437.4384,,,,,,,,,,,,,,,,,
437.5908,,,,,,,,,,,,,,,,,
437.7432,,,,,,,,,,,,,,,,,
437.8956,,,,,,,,,,,,,,,,,
438.048,,,,,,,,,,,,,,,,,
438.2004,,,,,,,,,,,,,,,,,
438.3528,,,,,,,,,,,,,,,,,
438.5052,,,,,,,,,,,,,,,,,
438.6576,,,,,,,,,,,,,,,,,
438.81,,,,,,,,,,,,,,,,,
438.9624,,,,,,,,,,,,,,,,,
439.1148,,,,,,,,,,,,,,,,,
439.2672,,,,,,,,,,,,,,,,,
439.4196,,,,,,,,,,,,,,,,,
439.572,,,,,,,,,,,,,,,,,
439.7244,,,,,,,,,,,,,,,,,
439.8768,,,,,,,,,,,,,,,,,
440.0292,,,,,,,,,,,,,,,,,
440.1816,,,,,,,,,,,,,,,,,
440.334,,,,,,,,,,,,,,,,,
440.4864,,,,,,,,,,,,,,,,,
440.6388,,,,,,,,,,,,,,,,,
440.7912,,,,,,,,,,,,,,,,,
440.9436,,,,,,,,,,,,,,,,,
441.096,,,,,,,,,,,,,,,,,
441.2484,,,,,,,,,,,,,,,,,
441.4008,,,,,,,,,,,,,,,,,
441.5532,,,,,,,,,,,,,,,,,
441.7056,,,,,,,,,,,,,,,,,
441.858,,,,,,,,,,,,,,,,,
442.0104,,,,,,,,,,,,,,,,,
442.1628,,,,,,,,,,,,,,,,,
442.3152,,,,,,,,,,,,,,,,,
442.4676,,,,,,,,,,,,,,,,,
442.62,,,,,,,,,,,,,,,,,
442.7724,,,,,,,,,,,,,,,,,
442.9248,,,,,,,,,,,,,,,,,
443.0772,,,,,,,,,,,,,,,,,
443.2296,,,,,,,,,,,,,,,,,
443.382,,,,,,,,,,,,,,,,,
443.5344,,,,,,,,,,,,,,,,,
443.6868,,,,,,,,,,,,,,,,,
443.8392,,,,,,,,,,,,,,,,,
443.9916,,,,,,,,,,,,,,,,,
444.144,,,,,,,,,,,,,,,,,
444.2964,,,,,,,,,,,,,,,,,
444.4488,,,,,,,,,,,,,,,,,
444.6012,,,,,,,,,,,,,,,,,
444.7536,,,,,,,,,,,,,,,,,
444.906,,,,,,,,,,,,,,,,,
445.0584,,,,,,,,,,,,,,,,,
445.2108,,,,,,,,,,,,,,,,,
445.3632,,,,,,,,,,,,,,,,,
445.5156,,,,,,,,,,,,,,,,,
445.668,,,,,,,,,,,,,,,,,
445.8204,,,,,,,,,,,,,,,,,
445.9728,,,,,,,,,,,,,,,,,
446.1252,,,,,,,,,,,,,,,,,
446.2776,,,,,,,,,,,,,,,,,
446.43,,,,,,,,,,,,,,,,,
446.5824,,,,,,,,,,,,,,,,,
446.7348,,,,,,,,,,,,,,,,,
446.8872,,,,,,,,,,,,,,,,,
447.0396,,,,,,,,,,,,,,,,,
447.192,,,,,,,,,,,,,,,,,
447.3444,,,,,,,,,,,,,,,,,
447.4968,,,,,,,,,,,,,,,,,
447.6492,,,,,,,,,,,,,,,,,
447.8016,,,,,,,,,,,,,,,,,
447.954,,,,,,,,,,,,,,,,,
448.1064,,,,,,,,,,,,,,,,,
