DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL
599.8996,,,,,,,,,,,
600.052,,,,,,,,,,,
600.2044,,,,,,,,,,,
600.3568,,,,,,,,,,,
600.5092,,,,,,,,,,,
600.6616,,,,,,,,,,,
600.814,,,,,,,,,,,
600.9664,,,,,,,,,,,
601.1188,,,,,,,,,,,
601.2712,,,,,,,,,,,
601.4236,,,,,,,,,,,
601.576,,,,,,,,,,,
601.7284,,,,,,,,,,,
601.8808,,,,,,38.9674,,,,,
602.0332,,,,,,37.6354,,,,,
602.1856,,,,,,35.7962,,,,,
602.338,,,,,,34.6888,,,,,
602.4904,,,,,,34.3876,,,,,
602.6428,,,,,,34.6198,,,,,
602.7952,,,,,,35.4319,,,,,
602.9476,,,,,,35.8936,,,,,
603.1,,,,,,37.1141,,,,,
603.2524,,,,,,38.1024,,,,,
603.4048,,,,,,37.6672,,,,,
603.5572,,,,,,35.52,,,,,
603.7096,,,,,,32.8534,,,,,
603.862,,,,,,31.8775,,,,,
604.0144,,,,,,32.4427,,,,,
604.1668,,,,,,34.5009,,,,,
604.3192,,,,,,36.1839,,,,,
604.4716,,,,,,36.1393,,,,,
604.624,,,,,,34.6503,,,,,
604.7764,,,,,,34.1867,,,,,
604.9288,,,,,,35.369,,,,,
605.0812,,,,,,35.2925,,,,,
605.2336,,,,,,36.0944,,,,,
605.386,,,,,,35.492,,,,,
605.5384,,,,,,35.7233,,,,,
605.6908,,,,,,37.1742,,,,,
605.8432,,,,,,39.2382,,,,,
605.9956,,,,,,40.6638,,,,,
606.148,,,,,,39.4792,,,,,
606.3004,,,,,,36.0325,,,,,
606.4528,,,,,,32.1665,,,,,
606.6052,,,,,,29.2283,,,,,
606.7576,,,,,,27.5263,,,,,
606.91,,,,,,27.4598,,,,,
607.0624,,,,,,27.8157,,,,,
607.2148,,,,,,27.9618,,,,,
607.3672,,,,,,28.2631,,,,,
607.5196,,,,,,29.1499,,,,,
607.672,,,,,,29.8541,,,,,
607.8244,,,,,,29.8665,,,,,
607.9768,,,,,,29.3526,,,,,
608.1292,,,,,,28.1783,,,,,
608.2816,,,,,,26.8738,,,,,
608.434,,,,,,25.4847,,,,,
608.5864,,,,,,24.5798,,,,,
608.7388,,,,,,24.6486,,,,,
608.8912,,,,,,25.7272,,,,,
609.0436,,,,,,26.4558,,,,,
609.196,,,,,,26.5562,,,,,
609.3484,,,,,,26.4558,,,,,
609.5008,,,,,,27.2114,,,,,
609.6532,,,,,,28.4657,,,,,
609.8056,,,,,,29.2096,,,,,
609.958,,,,,,29.1128,,,,,
610.1104,,,,,,27.9618,,,,,
610.2628,,,,,,25.4162,,,,,
610.4152,,,,,,22.9408,,,,,
610.5676,,,,,,22.4522,,,,,
610.72,,,,,,24.1413,,,,,
610.8724,,,,,,26.9263,,,,,
611.0248,,,,,,28.3935,,,,,
611.1772,,,,,,26.7229,,,,,
611.3296,,,,,,24.6064,,,,,
611.482,,,,,,23.9913,,,,,
611.6344,,,,,,25.2916,,,,,
611.7868,,,,,,27.245,,,,,
611.9392,,,,,,26.9605,,,,,
612.0916,,,,,,27.0582,,,,,
612.244,,,,,,28.3395,,,,,
612.3964,,,,,,29.7914,,,,,
