DEPTH,CALI,DENC,DENS,DTC,DTS_1,DTS_2,GR,NEUT,PEF,RDEP,RMIC,RSHAL
445.008,,,,,,,,,,,,
445.1604,,,,,,,,,,,,
445.3128,,,,,,,,,,,,
445.4652,,,,,,,,,,,,
445.6176,,,,,,,,,,,,
445.77,,,,,,,,,,,,
445.9224,,,,,,,,,,,,
446.0748,,,,,,,,,,,,
446.2272,,,,,,,,,,,,
446.3796,,,,,,,44.3022,,,,,
446.532,,,,,,,44.3022,,,,,
446.6844,,,,,,,42.2451,,,,,
446.8368,,,,,,,42.2181,,,,,
446.9892,,,,,,,42.8684,,,,,
447.1416,,,,,,,39.4769,,,,,
447.294,,,,,,,37.5998,,,,,
447.4464,,,,,,,34.87,,,,,
447.5988,,,,,,,42.643,,,,,
447.7512,,,,,,,40.3,,,,,
447.9036,,,,,,,40.1635,,,,,
448.056,,,,,,,41.6586,,,,,
448.2084,,,,,,,41.7457,,,,,
448.3608,,,,,,,42.3161,,,,,
448.5132,,,,,,,36.5053,,,,,
448.6656,,,,,,,35.6073,,,,,
448.818,,,,,,,41.0647,,,,,
448.9704,,,,,,,44.8538,,,,,
449.1228,,,,,,,34.7078,,,,,
449.2752,,,,,,,42.6124,,,,,
449.4276,,,,,,,37.288,,,,,
449.58,,,,,,,39.5968,,,,,
449.7324,,,,,,,42.6066,,,,,
449.8848,,,,,,,45.6123,,,,,
450.0372,,,,,,,39.4719,,,,,
450.1896,,,,,,,40.1769,,,,,
450.342,,,,,,,38.4036,,,,,
450.4944,,,,,,,39.0878,,,,,
450.6468,,,,,,,38.2441,,,,,
450.7992,,,,,,,40.4349,,,,,
450.9516,,,,,,,39.6119,,,,,
451.104,,,,,,,38.9526,,,,,
451.2564,,,,,,,38.3249,,,,,
451.4088,,,,,,,38.1764,,,,,
451.5612,,,,,,,40.3061,,,,,
451.7136,,,,,,,41.1111,,,,,
451.866,,,,,,,46.0778,,,,,
452.0184,,,,,,,41.0267,,,,,
452.1708,,,,,,,44.9507,,,,,
452.3232,,,,,,,41.5263,,,,,
452.4756,,,,,,,39.719,,,,,
452.628,,,,,,,40.3042,,,,,
452.7804,,,,,,,40.8113,,,,,
452.9328,,,,,,,37.4041,,,,,
453.0852,,,,,,,37.1255,,,,,
453.2376,,,,,,,39.3024,,,,,
453.39,,,,,,,37.1827,,,,,
453.5424,,,,,,,42.0102,,,,,
453.6948,,,,,,,45.6712,,,,,
453.8472,,,,,,,39.6297,,,,,
453.9996,,,,,,,40.9101,,,,,
454.152,,,,,,,41.2695,,,,,
454.3044,,,,,,,40.2096,,,,,
454.4568,,,,,,,40.9906,,,,,
454.6092,,,,,,,41.601,,,,,
454.7616,,,,,,,40.866,,,,,
454.914,,,,,,,38.7452,,,,,
455.0664,,,,,,,39.0647,,,,,
455.2188,,,,,,,37.2488,,,,,
455.3712,,,,,,,36.6033,,,,,
455.5236,,,,,,,39.4659,,,,,
455.676,,,,,,,37.0075,,,,,
455.8284,,,,,,,38.1199,,,,,
455.9808,,,,,,,38.0866,,,,,
456.1332,,,,,,,36.7625,,,,,
456.2856,,,,,,,30.4808,,,,,
456.438,,,,,,,31.8809,,,,,
456.5904,,,,,,,32.2875,,,,,
456.7428,,,,,,,34.6767,,,,,
456.8952,,,,,,,34.2674,,,,,
457.0476,,,,,,,35.4701,,,,,
457.2,,,,,,,37.7768,,,,,
457.3524,,,,,,,36.6829,,,,,
457.5048,,,,,,,40.5018,,,,,
457.6572,,,,,,,42.3808,,,,,
457.8096,,,,,,,41.7523,,,,,
457.962,,,,,,,43.8344,,,,,
458.1144,,,,,,,44.3773,,,,,
458.2668,,,,,,,42.8334,,,,,
458.4192,,,,,,,40.3801,,,,,
458.5716,,,,,,,41.3014,,,,,
458.724,,,,,,,44.1381,,,,,
458.8764,,,,,,,42.7384,,,,,
459.0288,,,,,,,41.8168,,,,,
459.1812,,,,,,,41.3097,,,,,
459.3336,,,,,,,43.3075,,,,,
459.486,,,,,,,42.908,,,,,
459.6384,,,,,,,40.3689,,,,,
459.7908,,,,,,,41.3406,,,,,
459.9432,,,,,,,40.6751,,,,,
460.0956,,,,,,,38.149,,,,,
460.248,,,,,,,43.241,,,,,
460.4004,,,,,,,50.0849,,,,,
460.5528,,,,,,,47.5273,,,,,
460.7052,,,,,,,42.685,,,,,
460.8576,,,,,,,44.6235,,,,,
461.01,,,,,,,43.1787,,,,,
461.1624,,,,,,,42.3607,,,,,
461.3148,,,,,,,41.3706,,,,,
461.4672,,,,,,,42.2655,,,,,
461.6196,,,,,,,43.3257,,,,,
461.772,,,,,,,45.1767,,,,,
461.9244,,,,,,,44.2527,,,,,
462.0768,,,,,,,41.574,,,,,
462.2292,,,,,,,43.0432,,,,,
462.3816,,,,,,,44.5809,,,,,
462.534,,,,,,,44.0317,,,,,
462.6864,,,,,,,43.0099,,,,,
462.8388,,,,,,,46.5839,,,,,
462.9912,,,,,,,46.0237,,,,,
463.1436,,,,,,,45.9227,,,,,
463.296,,,,,,,44.396,,,,,
463.4484,,,,,,,41.1226,,,,,
463.6008,,,,,,,41.3719,,,,,
463.7532,,,,,,,49.9037,,,,,
463.9056,,,,,,,47.1708,,,,,
464.058,,,,,,,45.5534,,,,,
464.2104,,,,,,,42.9929,,,,,
464.3628,,,,,,,40.8975,,,,,
464.5152,,,,,,,43.2793,,,,,
464.6676,,,,,,,37.3305,,,,,
464.82,,,,,,,38.4039,,,,,
464.9724,,,,,,,38.2955,,,,,
465.1248,,,,,,,43.7898,,,,,
465.2772,,,,,,,46.6196,,,,,
465.4296,,,,,,,42.6693,,,,,
465.582,,,,,,,41.9851,,,,,
465.7344,,,,,,,42.0128,,,,,
465.8868,,,,,,,34.8591,,,,,
466.0392,,,,,,,27.5272,,,,,
466.1916,,,,,,,27.7111,,,,,
466.344,,,,,,,25.6456,,,,,
466.4964,,,,,,,23.3033,,,,,
466.6488,,,,,,,23.4088,,,,,
466.8012,,,,,,,24.2561,,,,,
466.9536,,,,,,,23.2004,,,,,
467.106,,,,,,,25.1048,,,,,
467.2584,,,,,,,31.5434,,,,,
467.4108,,,,,,,36.8226,,,,,
467.5632,,,,,,,42.5154,,,,,
467.7156,,,,,,,41.3419,,,,,
467.868,,,,,,,42.8358,,,,,
468.0204,,,,,,,41.3219,,,,,
468.1728,,,,,,,43.316,,,,,
468.3252,,,,,,,43.961,,,,,
468.4776,,,,,,,43.577,,,,,
468.63,,,,,,,43.454,,,,,
468.7824,,,,,,,42.566,,,,,
468.9348,,,,,,,42.8311,,,,,
469.0872,,,,,,,45.0497,,,,,
469.2396,,,,,,,43.6944,,,,,
469.392,,,,,,,44.4514,,,,,
469.5444,,,,,,,46.3841,,,,,
469.6968,,,,,,,43.4871,,,,,
469.8492,,,,,,,41.0007,,,,,
470.0016,,,,,,,43.0341,,,,,
470.154,,,,,,,43.8865,,,,,
470.3064,,,,,,,38.9669,,,,,
470.4588,,,,,,,39.5021,,,,,
470.6112,,,,,,,39.0631,,,,,
470.7636,,,,,,,43.82,,,,,
470.916,,,,,,,43.2496,,,,,
471.0684,,,,,,,42.1261,,,,,
471.2208,,,,,,,42.3358,,,,,
471.3732,,,,,,,43.9738,,,,,
471.5256,,,,,,,45.758,,,,,
471.678,,,,,,,44.1017,,,,,
471.8304,,,,,,,42.8088,,,,,
471.9828,,,,,,,43.3799,,,,,
472.1352,,,,,,,41.5984,,,,,
472.2876,,,,,,,40.8125,,,,,
472.44,,,,,,,46.222,,,,,
472.5924,,,,,,,46.672,,,,,
472.7448,,,,,,,46.5626,,,,,
472.8972,,,,,,,47.1907,,,,,
473.0496,,,,,,,35.7542,,,,,
473.202,,,,,,,29.583,,,,,
473.3544,,,,,,,23.0801,,,,,
473.5068,,,,,,,23.3966,,,,,
473.6592,,,,,,,20.8235,,,,,
473.8116,,,,,,,30.7797,,,,,
473.964,,,,,,,32.5868,,,,,
474.1164,,,,,,,29.8419,,,,,
474.2688,,,,,,,29.4763,,,,,
474.4212,,,,,,,29.0572,,,,,
474.5736,,,,,,,29.9202,,,,,
474.726,,,,,,,29.1471,,,,,
474.8784,,,,,,,27.8244,,,,,
475.0308,,,,,,,27.941,,,,,
475.1832,,,,,,,33.6084,,,,,
475.3356,,,,,,,35.9146,,,,,
475.488,,,,,,,32.2025,,,,,
475.6404,,,,,,,31.711,,,,,
475.7928,,,,,,,31.7143,,,,,
475.9452,,,,,,,28.3533,,,,,
476.0976,,,,,,,25.3694,,,,,
476.25,,,,,,,28.2822,,,,,
476.4024,,,,,,,30.6205,,,,,
476.5548,,,,,,,31.2159,,,,,
476.7072,,,,,,,29.7163,,,,,
476.8596,,,,,,,31.5002,,,,,
477.012,,,,,,,33.8269,,,,,
477.1644,,,,,,,31.3185,,,,,
477.3168,,,,,,,29.3996,,,,,
477.4692,,,,,,,26.6881,,,,,
477.6216,,,,,,,30.9526,,,,,
477.774,,,,,,,31.52,,,,,
477.9264,,,,,,,31.7871,,,,,
478.0788,,,,,,,30.8032,,,,,
478.2312,,,,,,,32.6612,,,,,
478.3836,,,,,,,32.7375,,,,,
478.536,,,,,,,32.0575,,,,,
478.6884,,,,,,,29.4686,,,,,
478.8408,,,,,,,31.3801,,,,,
478.9932,,,,,,,28.7597,,,,,
479.1456,,,,,,,28.7248,,,,,
479.298,,,,,,,26.4849,,,,,
479.4504,,,,,,,29.4594,,,,,
479.6028,,,,,,,28.5474,,,,,
479.7552,,,,,,,30.3333,,,,,
479.9076,,,,,,,29.2328,,,,,
480.06,,,,,,,29.3673,,,,,
480.2124,,,,,,,32.2932,,,,,
480.3648,,,,,,,30.2146,,,,,
480.5172,,,,,,,29.4318,,,,,
480.6696,,,,,,,31.8862,,,,,
480.822,,,,,,,30.2242,,,,,
480.9744,,,,,,,30.8863,,,,,
481.1268,,,,,,,32.84,,,,,
481.2792,,,,,,,31.5042,,,,,
481.4316,,,,,,,28.9861,,,,,
481.584,,,,,,,28.2993,,,,,
481.7364,,,,,,,32.9658,,,,,
481.8888,,,,,,,32.0895,,,,,
482.0412,,,,,,,29.883,,,,,
482.1936,,,,,,,29.0737,,,,,
482.346,,,,,,,31.5482,,,,,
482.4984,,,,,,,29.9055,,,,,
482.6508,,,,,,,29.1237,,,,,
482.8032,,,,,,,31.1092,,,,,
482.9556,,,,,,,31.8965,,,,,
483.108,,,,,,,30.2055,,,,,
483.2604,,,,,,,30.8132,,,,,
483.4128,,,,,,,25.9969,,,,,
483.5652,,,,,,,33.653,,,,,
483.7176,,,,,,,33.6681,,,,,
483.87,,,,,,,33.3195,,,,,
484.0224,,,,,,,30.7058,,,,,
484.1748,,,,,,,30.9482,,,,,
484.3272,,,,,,,31.9779,,,,,
484.4796,,,,,,,34.4811,,,,,
484.632,,,,,,,30.987,,,,,
484.7844,,,,,,,32.1489,,,,,
484.9368,,,,,,,32.0556,,,,,
485.0892,,,,,,,30.9754,,,,,
485.2416,,,,,,,30.6746,,,,,
485.394,,,,,,,32.3143,,,,,
485.5464,,,,,,,32.1263,,,,,
485.6988,,,,,,,32.8646,,,,,
485.8512,,,,,,,30.4287,,,,,
486.0036,,,,,,,27.8943,,,,,
486.156,,,,,,,31.4063,,,,,
486.3084,,,,,,,31.526,,,,,
486.4608,,,,,,,32.3849,,,,,
486.6132,,,,,,,33.4927,,,,,
486.7656,,,,,,,32.7893,,,,,
486.918,,,,,,,32.5985,,,,,
487.0704,,,,,,,34.9352,,,,,
487.2228,,,,,,,37.5016,,,,,
487.3752,,,,,,,36.41,,,,,
487.5276,,,,,,,34.8669,,,,,
487.68,,,,,,,32.26,,,,,
487.8324,,,,,,,30.2698,,,,,
487.9848,,,,,,,32.3669,,,,,
488.1372,,,,,,,35.9362,,,,,
488.2896,,,,,,,35.7819,,,,,
488.442,,,,,,,32.9638,,,,,
488.5944,,,,,,,32.9846,,,,,
488.7468,,,,,,,32.648,,,,,
488.8992,,,,,,,34.069,,,,,
489.0516,,,,,,,33.3562,,,,,
489.204,,,,,,,36.261,,,,,
489.3564,,,,,,,33.1819,,,,,
489.5088,,,,,,,33.9548,,,,,
489.6612,,,,,,,33.9149,,,,,
489.8136,,,,,,,32.1502,,,,,
489.966,,,,,,,37.4323,,,,,
490.1184,,,,,,,35.9462,,,,,
490.2708,,,,,,,34.643,,,,,
490.4232,,,,,,,32.6573,,,,,
490.5756,,,,,,,31.1168,,,,,
490.728,,,,,,,33.8526,,,,,
490.8804,,,,,,,28.8095,,,,,
491.0328,,,,,,,33.8302,,,,,
491.1852,,,,,,,32.4827,,,,,
491.3376,,,,,,,31.5168,,,,,
491.49,,,,,,,34.6173,,,,,
491.6424,,,,,,,32.6184,,,,,
491.7948,,,,,,,32.6414,,,,,
491.9472,,,,,,,32.7304,,,,,
492.0996,,,,,,,34.2658,,,,,
492.252,,,,,,,31.8649,,,,,
492.4044,,,,,,,34.1778,,,,,
492.5568,,,,,,,32.8479,,,,,
492.7092,,,,,,,33.5989,,,,,
492.8616,,,,,,,33.9761,,,,,
493.014,,,,,,,32.0297,,,,,
493.1664,,,,,,,34.061,,,,,
493.3188,,,,,,,32.5699,,,,,
493.4712,,,,,,,34.9267,,,,,
493.6236,,,,,,,31.6248,,,,,
493.776,,,,,,,30.4851,,,,,
493.9284,,,,,,,32.8868,,,,,
494.0808,,,,,,,32.3981,,,,,
494.2332,,,,,,,35.4406,,,,,
494.3856,,,,,,,35.6405,,,,,
494.538,,,,,,,32.201,,,,,
494.6904,,,,,,,32.1187,,,,,
494.8428,,,,,,,41.5357,,,,,
494.9952,,,,,,,39.0938,,,,,
495.1476,,,,,,,29.5073,,,,,
495.3,,,,,,,32.6948,,,,,
495.4524,,,,,,,32.8113,,,,,
495.6048,,,,,,,35.4539,,,,,
495.7572,,,,,,,37.7673,,,,,
495.9096,,,,,,,34.6265,,,,,
496.062,,,,,,,34.3296,,,,,
496.2144,,,,,,,34.7453,,,,,
496.3668,,,,,,,33.6405,,,,,
496.5192,,,,,,,36.4357,,,,,
496.6716,,,,,,,33.8695,,,,,
496.824,,,,,,,31.4343,,,,,
496.9764,,,,,,,28.8329,,,,,
497.1288,,,,,,,28.4288,,,,,
497.2812,,,,,,,27.4511,,,,,
497.4336,,,,,,,32.6744,,,,,
497.586,,,,,,,34.1267,,,,,
497.7384,,,,,,,34.2961,,,,,
497.8908,,,,,,,33.4366,,,,,
498.0432,,,,,,,31.2586,,,,,
498.1956,,,,,,,32.7635,,,,,
498.348,,,,,,,31.2239,,,,,
498.5004,,,,,,,33.677,,,,,
498.6528,,,,,,,30.3544,,,,,
498.8052,,,,,,,30.5945,,,,,
498.9576,,,,,,,30.2808,,,,,
499.11,,,,,,,29.9629,,,,,
499.2624,,,,,,,27.3391,,,,,
499.4148,,,,,,,34.415,,,,,
499.5672,,,,,,,32.1728,,,,,
499.7196,,,,,,,34.4516,,,,,
499.872,,,,,,,33.3883,,,,,
500.0244,,,,,,,33.0852,,,,,
500.1768,,,,,,,34.6165,,,,,
500.3292,,,,,,,34.3039,,,,,
500.4816,,,,,,,32.3147,,,,,
500.634,,,,,,,31.574,,,,,
500.7864,,,,,,,31.5936,,,,,
500.9388,,,,,,,37.0539,,,,,
501.0912,,,,,,,37.8075,,,,,
501.2436,,,,,,,35.5208,,,,,
501.396,,,,,,,33.7766,,,,,
501.5484,,,,,,,35.7668,,,,,
501.7008,,,,,,,33.8991,,,,,
501.8532,,,,,,,31.8467,,,,,
502.0056,,,,,,,30.965,,,,,
502.158,,,,,,,31.5526,,,,,
502.3104,,,,,,,31.3533,,,,,
502.4628,,,,,,,29.7613,,,,,
502.6152,,,,,,,34.3691,,,,,
502.7676,,,,,,,34.8372,,,,,
502.92,,,,,,,32.2404,,,,,
503.0724,,,,,,,34.0655,,,,,
503.2248,,,,,,,33.7839,,,,,
503.3772,,,,,,,34.8429,,,,,
503.5296,,,,,,,32.7286,,,,,
503.682,,,,,,,33.374,,,,,
503.8344,,,,,,,32.069,,,,,
503.9868,,,,,,,30.6054,,,,,
504.1392,,,,,,,31.1896,,,,,
504.2916,,,,,,,28.9913,,,,,
504.444,,,,,,,34.4402,,,,,
504.5964,,,,,,,35.0382,,,,,
504.7488,,,,,,,31.8686,,,,,
504.9012,,,,,,,32.7184,,,,,
505.0536,,,,,,,33.3073,,,,,
505.206,,,,,,,32.1138,,,,,
505.3584,,,,,,,34.3024,,,,,
505.5108,,,,,,,33.5873,,,,,
505.6632,,,,,,,34.4321,,,,,
505.8156,,,,,,,32.5925,,,,,
505.968,,,,,,,31.3004,,,,,
506.1204,,,,,,,32.3247,,,,,
506.2728,,,,,,,33.7738,,,,,
506.4252,,,,,,,35.2756,,,,,
506.5776,,,,,,,34.0286,,,,,
506.73,,,,,,,33.4942,,,,,
506.8824,,,,,,,35.093,,,,,
507.0348,,,,,,,34.3713,,,,,
507.1872,,,,,,,36.2524,,,,,
507.3396,,,,,,,33.1582,,,,,
507.492,,,,,,,32.4878,,,,,
507.6444,,,,,,,28.7338,,,,,
507.7968,,,,,,,23.6023,,,,,
507.9492,,,,,,,34.2826,,,,,
508.1016,,,,,,,35.527,,,,,
508.254,,,,,,,34.1401,,,,,
508.4064,,,,,,,32.7321,,,,,
508.5588,,,,,,,33.5266,,,,,
508.7112,,,,,,,34.7127,,,,,
508.8636,,,,,,,31.7871,,,,,
509.016,,,,,,,29.9944,,,,,
509.1684,,,,,,,31.251,,,,,
509.3208,,,,,,,35.9373,,,,,
509.4732,,,,,,,34.2873,,,,,
509.6256,,,,,,,31.2685,,,,,
509.778,,,,,,,32.8142,,,,,
509.9304,,,,,,,33.0845,,,,,
510.0828,,,,,,,30.524,,,,,
510.2352,,,,,,,31.0237,,,,,
510.3876,,,,,,,33.1838,,,,,
510.54,,,,,,,29.694,,,,,
510.6924,,,,,,,33.0855,,,,,
510.8448,,,,,,,34.1446,,,,,
510.9972,,,,,,,35.2197,,,,,
511.1496,,,,,,,32.1123,,,,,
511.302,,,,,,,31.9704,,,,,
511.4544,,,,,,,28.5347,,,,,
511.6068,,,,,,,32.8879,,,,,
511.7592,,,,,,,30.3944,,,,,
511.9116,,,,,,,28.3638,,,,,
512.064,,,,,,,35.799,,,,,
512.2164,,,,,,,32.6127,,,,,
512.3688,,,,,,,31.7836,,,,,
512.5212,,,,,,,28.8977,,,,,
512.6736,,,,,,,29.9995,,,,,
512.826,,,,,,,30.7065,,,,,
512.9784,,,,,,,31.9725,,,,,
513.1308,,,,,,,36.6494,,,,,
513.2832,,,,,,,33.7158,,,,,
513.4356,,,,,,,35.8369,,,,,
513.588,,,,,,,32.4186,,,,,
513.7404,,,,,,,34.9823,,,,,
513.8928,,,,,,,35.7668,,,,,
514.0452,,,,,,,36.6508,,,,,
514.1976,,,,,,,38.7324,,,,,
514.35,,,,,,,38.1797,,,,,
514.5024,,,,,,,33.5078,,,,,
514.6548,,,,,,,33.346,,,,,
514.8072,,,,,,,32.1824,,,,,
514.9596,,,,,,,32.1306,,,,,
515.112,,,,,,,28.489,,,,,
515.2644,,,,,,,34.5883,,,,,
515.4168,,,,,,,32.1911,,,,,
515.5692,,,,,,,30.4883,,,,,
515.7216,,,,,,,31.0141,,,,,
515.874,,,,,,,30.7637,,,,,
516.0264,,,,,,,33.5545,,,,,
516.1788,,,,,,,35.2315,,,,,
516.3312,,,,,,,35.1802,,,,,
516.4836,,,,,,,34.9927,,,,,
516.636,,,,,,,37.163,,,,,
516.7884,,,,,,,36.0709,,,,,
516.9408,,,,,,,33.8559,,,,,
517.0932,,,,,,,32.4876,,,,,
517.2456,,,,,,,29.994,,,,,
517.398,,,,,,,29.8263,,,,,
517.5504,,,,,,,30.7642,,,,,
517.7028,,,,,,,33.0394,,,,,
517.8552,,,,,,,33.1539,,,,,
518.0076,,,,,,,32.9833,,,,,
